PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,1,PR1,25.64
P. fluorescens,1,2,PR1,25.54
P. fluorescens,1,3,PR1,25.57
S. marcescens,1,1,PR1,23.05
S. marcescens,1,2,PR1,22.86
S. marcescens,1,3,PR1,22.97
B. subtilis,1,1,PR1,23.64
B. subtilis,1,2,PR1,23.71
B. subtilis,1,3,PR1,23.54
Control,1,1,PR1,22.26
Control,1,2,PR1,22.42
Control,1,3,PR1,22.35
P. fluorescens,4,1,PR1,20.44
P. fluorescens,4,2,PR1,20.58
P. fluorescens,4,3,PR1,20.49
S. marcescens,4,1,PR1,22.72
S. marcescens,4,2,PR1,22.75
S. marcescens,4,3,PR1,22.92
B. subtilis,4,1,PR1,20.14
B. subtilis,4,2,PR1,20.18
B. subtilis,4,3,PR1,20.02
Control,4,1,PR1,20.45
Control,4,2,PR1,20.35
Control,4,3,PR1,20.44
P. fluorescens,7,1,PR1,25.29
P. fluorescens,7,2,PR1,25.55
P. fluorescens,7,3,PR1,25.26
S. marcescens,7,1,PR1,26.09
S. marcescens,7,2,PR1,25.73
S. marcescens,7,3,PR1,26.01
B. subtilis,7,1,PR1,16.32
B. subtilis,7,2,PR1,16.45
B. subtilis,7,3,PR1,16.14
Control,7,1,PR1,16.89
Control,7,2,PR1,16.9
Control,7,3,PR1,16.91
P. fluorescens,10,1,PR1,24.78
P. fluorescens,10,2,PR1,24.93
P. fluorescens,10,3,PR1,24.8
S. marcescens,10,1,PR1,25.59
S. marcescens,10,2,PR1,25.75
S. marcescens,10,3,PR1,25.76
B. subtilis,10,1,PR1,21.82
B. subtilis,10,2,PR1,21.69
B. subtilis,10,3,PR1,22.07
Control,10,1,PR1,23.74
Control,10,2,PR1,23.92
Control,10,3,PR1,23.97
P. fluorescens,1,1,NPR1,23.06
P. fluorescens,1,2,NPR1,23.23
P. fluorescens,1,3,NPR1,23.26
S. marcescens,1,1,NPR1,22.61
S. marcescens,1,2,NPR1,22.76
S. marcescens,1,3,NPR1,22.81
B. subtilis,1,1,NPR1,22.69
B. subtilis,1,2,NPR1,22.82
B. subtilis,1,3,NPR1,22.9
Control,1,1,NPR1,22.25
Control,1,2,NPR1,22.21
Control,1,3,NPR1,22.46
P. fluorescens,4,1,NPR1,22.74
P. fluorescens,4,2,NPR1,22.93
P. fluorescens,4,3,NPR1,22.93
S. marcescens,4,1,NPR1,23.51
S. marcescens,4,2,NPR1,23.67
S. marcescens,4,3,NPR1,23.75
B. subtilis,4,1,NPR1,23.47
B. subtilis,4,2,NPR1,23.29
B. subtilis,4,3,NPR1,23.41
Control,4,1,NPR1,22.29
Control,4,2,NPR1,22.54
Control,4,3,NPR1,22.42
P. fluorescens,7,1,NPR1,22.6
P. fluorescens,7,2,NPR1,22.71
P. fluorescens,7,3,NPR1,22.93
S. marcescens,7,1,NPR1,23.58
S. marcescens,7,2,NPR1,23.54
S. marcescens,7,3,NPR1,23.58
B. subtilis,7,1,NPR1,21.52
B. subtilis,7,2,NPR1,21.59
B. subtilis,7,3,NPR1,21.56
Control,7,1,NPR1,21.5
Control,7,2,NPR1,21.55
Control,7,3,NPR1,21.57
P. fluorescens,10,1,NPR1,22.64
P. fluorescens,10,2,NPR1,22.58
P. fluorescens,10,3,NPR1,22.79
S. marcescens,10,1,NPR1,22.85
S. marcescens,10,2,NPR1,22.84
S. marcescens,10,3,NPR1,23
B. subtilis,10,1,NPR1,23
B. subtilis,10,2,NPR1,22.88
B. subtilis,10,3,NPR1,23.08
Control,10,1,NPR1,22.6
Control,10,2,NPR1,23.03
Control,10,3,NPR1,23.04
P. fluorescens,1,1,ICS1,23.22
P. fluorescens,1,2,ICS1,23.18
P. fluorescens,1,3,ICS1,23.35
S. marcescens,1,1,ICS1,22.4
S. marcescens,1,2,ICS1,22.35
S. marcescens,1,3,ICS1,22.38
B. subtilis,1,1,ICS1,23.94
B. subtilis,1,2,ICS1,23.1
B. subtilis,1,3,ICS1,22.58
Control,1,1,ICS1,22.6
Control,1,2,ICS1,22.66
Control,1,3,ICS1,22.54
P. fluorescens,4,1,ICS1,23.55
P. fluorescens,4,2,ICS1,23.68
P. fluorescens,4,3,ICS1,23.56
S. marcescens,4,1,ICS1,24.15
S. marcescens,4,2,ICS1,24.09
S. marcescens,4,3,ICS1,23.97
B. subtilis,4,1,ICS1,23.42
B. subtilis,4,2,ICS1,23.39
B. subtilis,4,3,ICS1,23.23
Control,4,1,ICS1,22.33
Control,4,2,ICS1,22.37
Control,4,3,ICS1,22.31
P. fluorescens,7,1,ICS1,23.05
P. fluorescens,7,2,ICS1,22.84
P. fluorescens,7,3,ICS1,22.76
S. marcescens,7,1,ICS1,23.33
S. marcescens,7,2,ICS1,23.14
S. marcescens,7,3,ICS1,23.02
B. subtilis,7,1,ICS1,19.42
B. subtilis,7,2,ICS1,20.16
B. subtilis,7,3,ICS1,19.34
Control,7,1,ICS1,19.79
Control,7,2,ICS1,19.67
Control,7,3,ICS1,19.83
P. fluorescens,10,1,ICS1,23.42
P. fluorescens,10,2,ICS1,23.08
P. fluorescens,10,3,ICS1,23.06
