PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,1,PR1,20.26
P. fluorescens,1,2,PR1,20.4
P. fluorescens,1,3,PR1,20.54
S. marcescens,1,1,PR1,21.17
S. marcescens,1,2,PR1,21.12
S. marcescens,1,3,PR1,21.28
B. subtilis,1,1,PR1,21.14
B. subtilis,1,2,PR1,21.23
B. subtilis,1,3,PR1,21.04
Control,1,1,PR1,20.63
Control,1,2,PR1,22
Control,1,3,PR1,20.68
P. fluorescens,4,1,PR1,23.93
P. fluorescens,4,2,PR1,24.03
P. fluorescens,4,3,PR1,24.02
S. marcescens,4,1,PR1,17.48
S. marcescens,4,2,PR1,17.59
S. marcescens,4,3,PR1,17.6
B. subtilis,4,1,PR1,18.78
B. subtilis,4,2,PR1,18.8
B. subtilis,4,3,PR1,18.83
Control,4,1,PR1,22.77
Control,4,2,PR1,22.9
Control,4,3,PR1,22.77
P. fluorescens,7,1,PR1,16.67
P. fluorescens,7,2,PR1,16.89
P. fluorescens,7,3,PR1,16.76
S. marcescens,7,1,PR1,18.05
S. marcescens,7,2,PR1,17.95
S. marcescens,7,3,PR1,18
B. subtilis,7,1,PR1,17.59
B. subtilis,7,2,PR1,17.3
B. subtilis,7,3,PR1,17.16
Control,7,1,PR1,16.34
Control,7,2,PR1,16.33
Control,7,3,PR1,16.34
P. fluorescens,10,1,PR1,25.42
P. fluorescens,10,2,PR1,25.26
P. fluorescens,10,3,PR1,25.25
S. marcescens,10,1,PR1,23.36
S. marcescens,10,2,PR1,23.68
S. marcescens,10,3,PR1,23.56
B. subtilis,10,1,PR1,18.78
B. subtilis,10,2,PR1,18.98
B. subtilis,10,3,PR1,18.85
Control,10,1,PR1,20.64
Control,10,2,PR1,20.8
Control,10,3,PR1,20.69
P. fluorescens,1,1,NPR1,22.05
P. fluorescens,1,2,NPR1,22.09
P. fluorescens,1,3,NPR1,22.12
S. marcescens,1,1,NPR1,22.95
S. marcescens,1,2,NPR1,22.89
S. marcescens,1,3,NPR1,23.06
B. subtilis,1,1,NPR1,22.12
B. subtilis,1,2,NPR1,22.24
B. subtilis,1,3,NPR1,22.14
Control,1,1,NPR1,21.61
Control,1,2,NPR1,21.61
Control,1,3,NPR1,21.79
P. fluorescens,4,1,NPR1,24.19
P. fluorescens,4,2,NPR1,24.32
P. fluorescens,4,3,NPR1,24.28
S. marcescens,4,1,NPR1,22.72
S. marcescens,4,2,NPR1,22.93
S. marcescens,4,3,NPR1,22.89
B. subtilis,4,1,NPR1,22.31
B. subtilis,4,2,NPR1,22.32
B. subtilis,4,3,NPR1,22.33
Control,4,1,NPR1,22.7
Control,4,2,NPR1,23.05
Control,4,3,NPR1,22.87
P. fluorescens,7,1,NPR1,21.94
P. fluorescens,7,2,NPR1,21.98
P. fluorescens,7,3,NPR1,22.08
S. marcescens,7,1,NPR1,22.65
S. marcescens,7,2,NPR1,22.23
S. marcescens,7,3,NPR1,22.34
B. subtilis,7,1,NPR1,21.85
B. subtilis,7,2,NPR1,22.05
B. subtilis,7,3,NPR1,21.94
Control,7,1,NPR1,22.29
Control,7,2,NPR1,22.27
Control,7,3,NPR1,22.23
P. fluorescens,10,1,NPR1,23.25
P. fluorescens,10,2,NPR1,23.13
P. fluorescens,10,3,NPR1,23.19
S. marcescens,10,1,NPR1,22.67
S. marcescens,10,2,NPR1,22.55
S. marcescens,10,3,NPR1,22.72
B. subtilis,10,1,NPR1,23.21
B. subtilis,10,2,NPR1,22.99
B. subtilis,10,3,NPR1,23.06
Control,10,1,NPR1,23.05
Control,10,2,NPR1,23.25
Control,10,3,NPR1,23.3
P. fluorescens,1,1,ICS1,21
P. fluorescens,1,2,ICS1,21.16
P. fluorescens,1,3,ICS1,21.21
S. marcescens,1,1,ICS1,21.95
S. marcescens,1,2,ICS1,21.85
S. marcescens,1,3,ICS1,22.08
B. subtilis,1,1,ICS1,21.09
B. subtilis,1,2,ICS1,21.19
B. subtilis,1,3,ICS1,20.98
Control,1,1,ICS1,20.56
Control,1,2,ICS1,20.61
Control,1,3,ICS1,20.54
P. fluorescens,4,1,ICS1,24.8
P. fluorescens,4,2,ICS1,24.61
P. fluorescens,4,3,ICS1,25.32
S. marcescens,4,1,ICS1,24.45
S. marcescens,4,2,ICS1,24.2
S. marcescens,4,3,ICS1,24.25
B. subtilis,4,1,ICS1,22.22
B. subtilis,4,2,ICS1,22.23
B. subtilis,4,3,ICS1,22.07
Control,4,1,ICS1,23.51
Control,4,2,ICS1,23.68
Control,4,3,ICS1,23.63
P. fluorescens,7,1,ICS1,21.07
P. fluorescens,7,2,ICS1,21.07
P. fluorescens,7,3,ICS1,21.14
S. marcescens,7,1,ICS1,22.1
S. marcescens,7,2,ICS1,21.84
S. marcescens,7,3,ICS1,21.94
B. subtilis,7,1,ICS1,20.58
B. subtilis,7,2,ICS1,20.56
B. subtilis,7,3,ICS1,20.57
Control,7,1,ICS1,20.25
Control,7,2,ICS1,20.28
Control,7,3,ICS1,20.26
P. fluorescens,10,1,ICS1,24.38
P. fluorescens,10,2,ICS1,24.34
P. fluorescens,10,3,ICS1,23.89
S. marcescens,10,1,ICS1,22.29
S. marcescens,10,2,ICS1,22.28
S. marcescens,10,3,ICS1,22.37
B. subtilis,10,1,ICS1,22.04
B. subtilis,10,2,ICS1,22.07
B. subtilis,10,3,ICS1,22.03
Control,10,1,ICS1,22.27
Control,10,2,ICS1,22.43
Control,10,3,ICS1,22.46
P. fluorescens,1,1,OPR3,36.58
P. fluorescens,1,2,OPR3,35.54
P. fluorescens,1,3,OPR3,35.19
S. marcescens,1,1,OPR3,36.39
S. marcescens,1,2,OPR3,35.01
S. marcescens,1,3,OPR3,36.1
B. subtilis,1,1,OPR3,36.19
B. subtilis,1,2,OPR3,
B. subtilis,1,3,OPR3,37.57
Control,1,1,OPR3,35.26
Control,1,2,OPR3,36.7
Control,1,3,OPR3,36.98
P. fluorescens,4,1,OPR3,33.93
P. fluorescens,4,2,OPR3,35.05
P. fluorescens,4,3,OPR3,33.42
S. marcescens,4,1,OPR3,35
S. marcescens,4,2,OPR3,33.89
S. marcescens,4,3,OPR3,34.56
B. subtilis,4,1,OPR3,37.24
B. subtilis,4,2,OPR3,34.24
B. subtilis,4,3,OPR3,
Control,4,1,OPR3,
Control,4,2,OPR3,35.59
Control,4,3,OPR3,36.07
P. fluorescens,7,1,OPR3,34.68
P. fluorescens,7,2,OPR3,35.61
P. fluorescens,7,3,OPR3,34.54
S. marcescens,7,1,OPR3,34.87
S. marcescens,7,2,OPR3,35.53
S. marcescens,7,3,OPR3,36.51
B. subtilis,7,1,OPR3,36.66
B. subtilis,7,2,OPR3,36.66
B. subtilis,7,3,OPR3,36.66
Control,7,1,OPR3,38.09
Control,7,2,OPR3,37.32
Control,7,3,OPR3,36.55
P. fluorescens,10,1,OPR3,34.27
P. fluorescens,10,2,OPR3,35.44
P. fluorescens,10,3,OPR3,36.6
S. marcescens,10,1,OPR3,37.78
S. marcescens,10,2,OPR3,36.21
S. marcescens,10,3,OPR3,36.9
B. subtilis,10,1,OPR3,35.82
B. subtilis,10,2,OPR3,36.99
B. subtilis,10,3,OPR3,38.15
Control,10,1,OPR3,36.79
Control,10,2,OPR3,37.7
Control,10,3,OPR3,36.6
P. fluorescens,1,1,PDF1.2,24.22
P. fluorescens,1,2,PDF1.2,24.17
P. fluorescens,1,3,PDF1.2,24.34
S. marcescens,1,1,PDF1.2,24.24
S. marcescens,1,2,PDF1.2,24.46
S. marcescens,1,3,PDF1.2,24.4
B. subtilis,1,1,PDF1.2,23.72
B. subtilis,1,2,PDF1.2,23.9
B. subtilis,1,3,PDF1.2,23.68
Control,1,1,PDF1.2,23.09
Control,1,2,PDF1.2,23.09
Control,1,3,PDF1.2,23.17
P. fluorescens,4,1,PDF1.2,24.79
P. fluorescens,4,2,PDF1.2,24.75
P. fluorescens,4,3,PDF1.2,24.82
S. marcescens,4,1,PDF1.2,23.69
S. marcescens,4,2,PDF1.2,23.58
S. marcescens,4,3,PDF1.2,23.88
B. subtilis,4,1,PDF1.2,22.95
B. subtilis,4,2,PDF1.2,23.05
B. subtilis,4,3,PDF1.2,23.01
Control,4,1,PDF1.2,22.02
Control,4,2,PDF1.2,22.09
Control,4,3,PDF1.2,22.06
P. fluorescens,7,1,PDF1.2,23.86
P. fluorescens,7,2,PDF1.2,23.94
P. fluorescens,7,3,PDF1.2,24.08
S. marcescens,7,1,PDF1.2,23.4
S. marcescens,7,2,PDF1.2,23.49
S. marcescens,7,3,PDF1.2,23.41
B. subtilis,7,1,PDF1.2,23.31
B. subtilis,7,2,PDF1.2,23.45
B. subtilis,7,3,PDF1.2,23.42
Control,7,1,PDF1.2,24.88
Control,7,2,PDF1.2,24.91
Control,7,3,PDF1.2,24.77
P. fluorescens,10,1,PDF1.2,20.33
P. fluorescens,10,2,PDF1.2,20.57
P. fluorescens,10,3,PDF1.2,20.59
S. marcescens,10,1,PDF1.2,23.15
S. marcescens,10,2,PDF1.2,23.1
S. marcescens,10,3,PDF1.2,23.23
B. subtilis,10,1,PDF1.2,24.11
B. subtilis,10,2,PDF1.2,24.01
B. subtilis,10,3,PDF1.2,24
Control,10,1,PDF1.2,25.05
Control,10,2,PDF1.2,25.14
Control,10,3,PDF1.2,25.4
P. fluorescens,1,1,RdR1,23.91
P. fluorescens,1,2,RdR1,24.07
P. fluorescens,1,3,RdR1,24.17
S. marcescens,1,1,RdR1,24.35
S. marcescens,1,2,RdR1,24.54
S. marcescens,1,3,RdR1,24.47
B. subtilis,1,1,RdR1,24.37
B. subtilis,1,2,RdR1,24.45
B. subtilis,1,3,RdR1,24.34
Control,1,1,RdR1,23.64
Control,1,2,RdR1,23.96
Control,1,3,RdR1,24.13
P. fluorescens,4,1,RdR1,24.89
P. fluorescens,4,2,RdR1,25.09
P. fluorescens,4,3,RdR1,24.93
S. marcescens,4,1,RdR1,24.15
S. marcescens,4,2,RdR1,24.31
S. marcescens,4,3,RdR1,24.38
B. subtilis,4,1,RdR1,23.86
B. subtilis,4,2,RdR1,23.78
B. subtilis,4,3,RdR1,23.8
Control,4,1,RdR1,23.69
Control,4,2,RdR1,23.91
Control,4,3,RdR1,24
P. fluorescens,7,1,RdR1,23.51
P. fluorescens,7,2,RdR1,23.55
P. fluorescens,7,3,RdR1,23.42
S. marcescens,7,1,RdR1,23.95
S. marcescens,7,2,RdR1,23.49
S. marcescens,7,3,RdR1,23.43
B. subtilis,7,1,RdR1,23.66
B. subtilis,7,2,RdR1,23.48
B. subtilis,7,3,RdR1,23.42
Control,7,1,RdR1,23.62
Control,7,2,RdR1,23.79
Control,7,3,RdR1,23.42
P. fluorescens,10,1,RdR1,24.49
P. fluorescens,10,2,RdR1,24.57
P. fluorescens,10,3,RdR1,24.12
S. marcescens,10,1,RdR1,23.73
S. marcescens,10,2,RdR1,23.69
S. marcescens,10,3,RdR1,23.76
B. subtilis,10,1,RdR1,24.32
B. subtilis,10,2,RdR1,24.1
B. subtilis,10,3,RdR1,24.07
Control,10,1,RdR1,24.06
Control,10,2,RdR1,24.13
Control,10,3,RdR1,24.15
P. fluorescens,1,1,UBQ,23.54
P. fluorescens,1,2,UBQ,23.72
P. fluorescens,1,3,UBQ,23.85
S. marcescens,1,1,UBQ,24.11
S. marcescens,1,2,UBQ,24.22
S. marcescens,1,3,UBQ,24.31
B. subtilis,1,1,UBQ,23.31
B. subtilis,1,2,UBQ,23.47
B. subtilis,1,3,UBQ,23.43
Control,1,1,UBQ,22.8
Control,1,2,UBQ,22.86
Control,1,3,UBQ,23.02
P. fluorescens,4,1,UBQ,24.6
P. fluorescens,4,2,UBQ,24.61
P. fluorescens,4,3,UBQ,24.56
S. marcescens,4,1,UBQ,23.77
S. marcescens,4,2,UBQ,23.61
S. marcescens,4,3,UBQ,23.74
B. subtilis,4,1,UBQ,23.34
B. subtilis,4,2,UBQ,23.38
B. subtilis,4,3,UBQ,23.43
Control,4,1,UBQ,23.26
Control,4,2,UBQ,23.51
Control,4,3,UBQ,23.56
P. fluorescens,7,1,UBQ,23.11
P. fluorescens,7,2,UBQ,23.22
P. fluorescens,7,3,UBQ,23.35
S. marcescens,7,1,UBQ,23.38
S. marcescens,7,2,UBQ,23.68
S. marcescens,7,3,UBQ,23.49
B. subtilis,7,1,UBQ,23.24
B. subtilis,7,2,UBQ,23.3
B. subtilis,7,3,UBQ,23.33
Control,7,1,UBQ,23.61
Control,7,2,UBQ,23.74
Control,7,3,UBQ,23.76
P. fluorescens,10,1,UBQ,23.97
P. fluorescens,10,2,UBQ,23.89
P. fluorescens,10,3,UBQ,24.04
S. marcescens,10,1,UBQ,23.56
S. marcescens,10,2,UBQ,23.46
S. marcescens,10,3,UBQ,23.57
B. subtilis,10,1,UBQ,24.43
B. subtilis,10,2,UBQ,24.61
B. subtilis,10,3,UBQ,24.55
Control,10,1,UBQ,24.35
Control,10,2,UBQ,24.37
Control,10,3,UBQ,24.45
P. fluorescens,1,1,Thi2.1,35.23
P. fluorescens,1,2,Thi2.1,35.09
P. fluorescens,1,3,Thi2.1,35.81
S. marcescens,1,1,Thi2.1,35.12
S. marcescens,1,2,Thi2.1,34.11
S. marcescens,1,3,Thi2.1,34.87
B. subtilis,1,1,Thi2.1,35.28
B. subtilis,1,2,Thi2.1,35.1
B. subtilis,1,3,Thi2.1,35.21
Control,1,1,Thi2.1,33.04
