PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,1,PR1,26.52
P. fluorescens,1,2,PR1,26.43
P. fluorescens,1,3,PR1,26.59
S. marcescens,1,1,PR1,26.35
S. marcescens,1,2,PR1,26.27
S. marcescens,1,3,PR1,27.25
B. subtilis,1,1,PR1,26.24
B. subtilis,1,2,PR1,26.35
B. subtilis,1,3,PR1,26.12
Control,1,1,PR1,25.34
Control,1,2,PR1,25.24
Control,1,3,PR1,26.01
P. fluorescens,4,1,PR1,25.13
P. fluorescens,4,2,PR1,24.82
P. fluorescens,4,3,PR1,25.09
S. marcescens,4,1,PR1,26.15
S. marcescens,4,2,PR1,26.14
S. marcescens,4,3,PR1,27.25
B. subtilis,4,1,PR1,25.92
B. subtilis,4,2,PR1,25.93
B. subtilis,4,3,PR1,26.05
Control,4,1,PR1,25.79
Control,4,2,PR1,25.79
Control,4,3,PR1,26.76
P. fluorescens,7,1,PR1,25.78
P. fluorescens,7,2,PR1,25.20
P. fluorescens,7,3,PR1,25.22
S. marcescens,7,1,PR1,25.75
S. marcescens,7,2,PR1,25.79
S. marcescens,7,3,PR1,26.61
B. subtilis,7,1,PR1,25.34
B. subtilis,7,2,PR1,25.45
B. subtilis,7,3,PR1,25.48
Control,7,1,PR1,25.58
Control,7,2,PR1,25.43
Control,7,3,PR1,26.23
P. fluorescens,10,1,PR1,25.76
P. fluorescens,10,2,PR1,25.55
P. fluorescens,10,3,PR1,25.42
S. marcescens,10,1,PR1,25.41
S. marcescens,10,2,PR1,25.32
S. marcescens,10,3,PR1,26.37
B. subtilis,10,1,PR1,24.79
B. subtilis,10,2,PR1,24.86
B. subtilis,10,3,PR1,24.95
Control,10,1,PR1,24.01
Control,10,2,PR1,24.53
Control,10,3,PR1,24.87
P. fluorescens,1,1,NPR1,25.44
P. fluorescens,1,2,NPR1,25.36
P. fluorescens,1,3,NPR1,25.58
S. marcescens,1,1,NPR1,25.16
S. marcescens,1,2,NPR1,25.24
S. marcescens,1,3,NPR1,25.34
B. subtilis,1,1,NPR1,24.73
B. subtilis,1,2,NPR1,24.79
B. subtilis,1,3,NPR1,24.75
Control,1,1,NPR1,26.41
Control,1,2,NPR1,26.54
Control,1,3,NPR1,26.71
P. fluorescens,4,1,NPR1,24.94
P. fluorescens,4,2,NPR1,24.97
P. fluorescens,4,3,NPR1,24.97
S. marcescens,4,1,NPR1,25.39
S. marcescens,4,2,NPR1,25.33
S. marcescens,4,3,NPR1,25.40
B. subtilis,4,1,NPR1,24.86
B. subtilis,4,2,NPR1,24.59
B. subtilis,4,3,NPR1,24.66
Control,4,1,NPR1,24.94
Control,4,2,NPR1,24.96
Control,4,3,NPR1,25.09
P. fluorescens,7,1,NPR1,23.10
P. fluorescens,7,2,NPR1,23.11
P. fluorescens,7,3,NPR1,23.18
S. marcescens,7,1,NPR1,23.37
S. marcescens,7,2,NPR1,23.38
S. marcescens,7,3,NPR1,23.26
B. subtilis,7,1,NPR1,22.46
B. subtilis,7,2,NPR1,22.64
B. subtilis,7,3,NPR1,22.70
Control,7,1,NPR1,24.17
Control,7,2,NPR1,24.12
Control,7,3,NPR1,24.13
P. fluorescens,10,1,NPR1,23.80
P. fluorescens,10,2,NPR1,23.88
P. fluorescens,10,3,NPR1,23.95
S. marcescens,10,1,NPR1,24.19
S. marcescens,10,2,NPR1,24.21
S. marcescens,10,3,NPR1,24.41
B. subtilis,10,1,NPR1,24.24
B. subtilis,10,2,NPR1,24.18
B. subtilis,10,3,NPR1,24.41
Control,10,1,NPR1,24.83
Control,10,2,NPR1,24.72
Control,10,3,NPR1,24.82
P. fluorescens,1,1,ICS1,25.17
P. fluorescens,1,2,ICS1,25.11
P. fluorescens,1,3,ICS1,25.25
S. marcescens,1,1,ICS1,25.13
S. marcescens,1,2,ICS1,25.21
S. marcescens,1,3,ICS1,25.14
B. subtilis,1,1,ICS1,24.61
B. subtilis,1,2,ICS1,24.66
B. subtilis,1,3,ICS1,24.52
