PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,1,PR1,25.13
P. fluorescens,1,2,PR1,25.12
P. fluorescens,1,3,PR1,25.38
S. marcescens,1,1,PR1,25.02
S. marcescens,1,2,PR1,25.22
S. marcescens,1,3,PR1,25.16
B. subtilis,1,1,PR1,25.86
B. subtilis,1,2,PR1,25.73
B. subtilis,1,3,PR1,25.62
Control,1,1,PR1,26.17
Control,1,2,PR1,26.22
Control,1,3,PR1,26.25
P. fluorescens,4,1,PR1,25.23
P. fluorescens,4,2,PR1,25.23
P. fluorescens,4,3,PR1,25.22
S. marcescens,4,1,PR1,25.13
S. marcescens,4,2,PR1,25.26
S. marcescens,4,3,PR1,25.23
B. subtilis,4,1,PR1,25.21
B. subtilis,4,2,PR1,25.03
B. subtilis,4,3,PR1,25.06
Control,4,1,PR1,25.59
Control,4,2,PR1,25.66
Control,4,3,PR1,25.64
P. fluorescens,7,1,PR1,24.13
P. fluorescens,7,2,PR1,24.13
P. fluorescens,7,3,PR1,24.02
S. marcescens,7,1,PR1,23.42
S. marcescens,7,2,PR1,23.2
S. marcescens,7,3,PR1,23.37
B. subtilis,7,1,PR1,24.85
B. subtilis,7,2,PR1,24.81
B. subtilis,7,3,PR1,24.81
Control,7,1,PR1,24.92
Control,7,2,PR1,24.82
Control,7,3,PR1,24.76
P. fluorescens,10,1,PR1,24.6
P. fluorescens,10,2,PR1,24.45
P. fluorescens,10,3,PR1,24.32
S. marcescens,10,1,PR1,24.25
S. marcescens,10,2,PR1,24.31
S. marcescens,10,3,PR1,24.33
B. subtilis,10,1,PR1,24.69
B. subtilis,10,2,PR1,24.63
B. subtilis,10,3,PR1,24.49
Control,10,1,PR1,24.61
Control,10,2,PR1,24.9
Control,10,3,PR1,24.69
P. fluorescens,1,1,NPR1,25.01
P. fluorescens,1,2,NPR1,25.08
P. fluorescens,1,3,NPR1,24.92
S. marcescens,1,1,NPR1,24.87
S. marcescens,1,2,NPR1,24.6
S. marcescens,1,3,NPR1,24.73
B. subtilis,1,1,NPR1,24.41
B. subtilis,1,2,NPR1,24.33
B. subtilis,1,3,NPR1,24.21
Control,1,1,NPR1,24.98
Control,1,2,NPR1,24.77
Control,1,3,NPR1,24.9
P. fluorescens,4,1,NPR1,25.52
P. fluorescens,4,2,NPR1,25.48
P. fluorescens,4,3,NPR1,25.38
S. marcescens,4,1,NPR1,24.88
S. marcescens,4,2,NPR1,24.96
S. marcescens,4,3,NPR1,25.05
B. subtilis,4,1,NPR1,24.51
B. subtilis,4,2,NPR1,24.59
B. subtilis,4,3,NPR1,24.67
Control,4,1,NPR1,24.62
Control,4,2,NPR1,24.68
Control,4,3,NPR1,24.72
P. fluorescens,7,1,NPR1,24.33
P. fluorescens,7,2,NPR1,24.32
P. fluorescens,7,3,NPR1,24.32
S. marcescens,7,1,NPR1,24.28
S. marcescens,7,2,NPR1,24.19
S. marcescens,7,3,NPR1,24.25
B. subtilis,7,1,NPR1,24.34
B. subtilis,7,2,NPR1,24.35
B. subtilis,7,3,NPR1,24.35
Control,7,1,NPR1,23.95
Control,7,2,NPR1,24.05
