PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,1,PR1,28.67
P. fluorescens,1,2,PR1,28.2
P. fluorescens,1,3,PR1,28.39
P. fluorescens,1,1,PR4,29.02
P. fluorescens,1,2,PR4,30.33
P. fluorescens,1,3,PR4,28.59
P. fluorescens,1,1,PR5,29.27
P. fluorescens,1,2,PR5,28.67
P. fluorescens,1,3,PR5,29.43
P. fluorescens,1,1,UBQ,20.81
P. fluorescens,1,2,UBQ,19.94
P. fluorescens,1,3,UBQ,19.97
P. fluorescens,4,1,PR1,27.69
P. fluorescens,4,2,PR1,27.11
P. fluorescens,4,3,PR1,27
P. fluorescens,4,1,PR4,29.09
P. fluorescens,4,2,PR4,29.2
P. fluorescens,4,3,PR4,29.56
P. fluorescens,4,1,PR5,28.47
P. fluorescens,4,2,PR5,28.57
P. fluorescens,4,3,PR5,28.55
P. fluorescens,4,1,UBQ,19.98
P. fluorescens,4,2,UBQ,20.17
P. fluorescens,4,3,UBQ,20.47
P. fluorescens,7,1,PR1,27.36
P. fluorescens,7,2,PR1,27.7
P. fluorescens,7,3,PR1,27.92
P. fluorescens,7,1,PR4,29.12
P. fluorescens,7,2,PR4,29.4
P. fluorescens,7,3,PR4,28.46
P. fluorescens,7,1,PR5,29.47
P. fluorescens,7,2,PR5,28.07
P. fluorescens,7,3,PR5,29.03
P. fluorescens,7,1,UBQ,21.08
P. fluorescens,7,2,UBQ,22.02
P. fluorescens,7,3,UBQ,20.95
S. marcescens,1,1,PR1,27.91
S. marcescens,1,2,PR1,28.7
S. marcescens,1,3,PR1,28.4
S. marcescens,1,1,PR4,29.41
S. marcescens,1,2,PR4,29.73
S. marcescens,1,3,PR4,30.11
S. marcescens,1,1,PR5,30.01
S. marcescens,1,2,PR5,29.81
S. marcescens,1,3,PR5,29.35
S. marcescens,1,1,UBQ,19.7
S. marcescens,1,2,UBQ,19.98
S. marcescens,1,3,UBQ,20.12
S. marcescens,4,1,PR1,27.6
S. marcescens,4,2,PR1,27.94
S. marcescens,4,3,PR1,27.14
S. marcescens,4,1,PR4,30.04
S. marcescens,4,2,PR4,29.39
S. marcescens,4,3,PR4,29.51
S. marcescens,4,1,PR5,28.57
S. marcescens,4,2,PR5,29.19
S. marcescens,4,3,PR5,29.42
S. marcescens,4,1,UBQ,20.89
S. marcescens,4,2,UBQ,20.66
S. marcescens,4,3,UBQ,20.34
S. marcescens,7,1,PR1,26.47
S. marcescens,7,2,PR1,26.09
S. marcescens,7,3,PR1,26.35
S. marcescens,7,1,PR4,27.63
S. marcescens,7,2,PR4,27.89
S. marcescens,7,3,PR4,27.73
S. marcescens,7,1,PR5,27.46
S. marcescens,7,2,PR5,27.53
S. marcescens,7,3,PR5,27.42
S. marcescens,7,1,UBQ,19.56
S. marcescens,7,2,UBQ,19.41
S. marcescens,7,3,UBQ,19.29
B. subtilis,1,1,PR1,27.8
B. subtilis,1,2,PR1,28.69
B. subtilis,1,3,PR1,27.31
B. subtilis,1,1,PR4,28.2
B. subtilis,1,2,PR4,29.43
B. subtilis,1,3,PR4,28.26
B. subtilis,1,1,PR5,29.02
B. subtilis,1,2,PR5,28.77
B. subtilis,1,3,PR5,28.9
B. subtilis,1,1,UBQ,19.61
B. subtilis,1,2,UBQ,19.65
B. subtilis,1,3,UBQ,19.35
B. subtilis,4,1,PR1,26.33
B. subtilis,4,2,PR1,26.49
B. subtilis,4,3,PR1,26.68
B. subtilis,4,1,PR4,28.48
B. subtilis,4,2,PR4,28.08
B. subtilis,4,3,PR4,27.41
B. subtilis,4,1,PR5,28.08
B. subtilis,4,2,PR5,27.96
B. subtilis,4,3,PR5,27.93
B. subtilis,4,1,UBQ,19.46
B. subtilis,4,2,UBQ,19.53
B. subtilis,4,3,UBQ,19.6
B. subtilis,7,1,PR1,26.24
B. subtilis,7,2,PR1,26.29
B. subtilis,7,3,PR1,25.92
B. subtilis,7,1,PR4,27.89
B. subtilis,7,2,PR4,28.35
B. subtilis,7,3,PR4,28.45
B. subtilis,7,1,PR5,27.96
B. subtilis,7,2,PR5,27.54
B. subtilis,7,3,PR5,27.42
B. subtilis,7,1,UBQ,18.95
B. subtilis,7,2,UBQ,19.44
B. subtilis,7,3,UBQ,19.45
Control,1,1,PR1,26.67
Control,1,2,PR1,26.21
Control,1,3,PR1,26.32
Control,1,1,PR4,28.22
Control,1,2,PR4,27.96
Control,1,3,PR4,28.04
Control,1,1,PR5,27.89
Control,1,2,PR5,27.72
Control,1,3,PR5,27.48
Control,1,1,UBQ,18.72
Control,1,2,UBQ,18.5
Control,1,3,UBQ,18.73
Control,4,1,PR1,24.97
Control,4,2,PR1,25.08
Control,4,3,PR1,24.91
Control,4,1,PR4,26.91
Control,4,2,PR4,26.86
Control,4,3,PR4,26.51
Control,4,1,PR5,23.08
Control,4,2,PR5,23.16
Control,4,3,PR5,23.1
Control,4,1,UBQ,18.5
Control,4,2,UBQ,18.41
Control,4,3,UBQ,18.5
Control,7,1,PR1,25.05
Control,7,2,PR1,25.4
Control,7,3,PR1,25.11
Control,7,1,PR4,26.48
Control,7,2,PR4,26.32
Control,7,3,PR4,26.28
Control,7,1,PR5,25.92
Control,7,2,PR5,25.99
Control,7,3,PR5,25.74
Control,7,1,UBQ,18.73
Control,7,2,UBQ,18.67
Control,7,3,UBQ,20.06
P. fluorescens,1,1,NPR1,26.41
P. fluorescens,1,2,NPR1,26.49
P. fluorescens,1,3,NPR1,26.38
P. fluorescens,1,1,EDS1,27.28
P. fluorescens,1,2,EDS1,27.18
P. fluorescens,1,3,EDS1,27.23
P. fluorescens,1,1,PAD4,27.41
P. fluorescens,1,2,PAD4,27.35
P. fluorescens,1,3,PAD4,27.44
P. fluorescens,1,1,PDF1.2,30.58
P. fluorescens,1,2,PDF1.2,30.36
P. fluorescens,1,3,PDF1.2,31.08
P. fluorescens,4,1,NPR1,25.94
P. fluorescens,4,2,NPR1,25.75
P. fluorescens,4,3,NPR1,25.52
P. fluorescens,4,1,EDS1,26.85
P. fluorescens,4,2,EDS1,26.75
P. fluorescens,4,3,EDS1,26.93
P. fluorescens,4,1,PAD4,27.5
P. fluorescens,4,2,PAD4,27.49
P. fluorescens,4,3,PAD4,27.82
P. fluorescens,4,1,PDF1.2,29.61
P. fluorescens,4,2,PDF1.2,29.35
P. fluorescens,4,3,PDF1.2,29.29
P. fluorescens,7,1,NPR1,25.01
P. fluorescens,7,2,NPR1,25.02
P. fluorescens,7,3,NPR1,24.76
P. fluorescens,7,1,EDS1,26.03
P. fluorescens,7,2,EDS1,25.99
P. fluorescens,7,3,EDS1,26.04
P. fluorescens,7,1,PAD4,26.59
P. fluorescens,7,2,PAD4,26.46
P. fluorescens,7,3,PAD4,26.76
P. fluorescens,7,1,PDF1.2,28.79
P. fluorescens,7,2,PDF1.2,28.75
P. fluorescens,7,3,PDF1.2,28.78
S. marcescens,1,1,NPR1,25.89
S. marcescens,1,2,NPR1,26.09
S. marcescens,1,3,NPR1,25.9
S. marcescens,1,1,EDS1,26.42
S. marcescens,1,2,EDS1,26.6
S. marcescens,1,3,EDS1,26.61
S. marcescens,1,1,PAD4,26.92
S. marcescens,1,2,PAD4,26.93
S. marcescens,1,3,PAD4,26.77
S. marcescens,1,1,PDF1.2,29.27
S. marcescens,1,2,PDF1.2,29.43
S. marcescens,1,3,PDF1.2,29.58
S. marcescens,4,1,NPR1,25.68
S. marcescens,4,2,NPR1,26.2
S. marcescens,4,3,NPR1,25.76
S. marcescens,4,1,EDS1,26.81
S. marcescens,4,2,EDS1,27.1
S. marcescens,4,3,EDS1,26.88
S. marcescens,4,1,PAD4,27.34
S. marcescens,4,2,PAD4,27
S. marcescens,4,3,PAD4,27.33
S. marcescens,4,1,PDF1.2,29.17
S. marcescens,4,2,PDF1.2,29
S. marcescens,4,3,PDF1.2,29.17
S. marcescens,7,1,NPR1,24.26
S. marcescens,7,2,NPR1,24.15
S. marcescens,7,3,NPR1,24.04
S. marcescens,7,1,EDS1,25.4
S. marcescens,7,2,EDS1,25.16
S. marcescens,7,3,EDS1,25.22
S. marcescens,7,1,PAD4,25.82
S. marcescens,7,2,PAD4,25.89
S. marcescens,7,3,PAD4,26.03
S. marcescens,7,1,PDF1.2,28.72
S. marcescens,7,2,PDF1.2,28.35
S. marcescens,7,3,PDF1.2,28.25
B. subtilis,1,1,NPR1,25.53
B. subtilis,1,2,NPR1,25.34
B. subtilis,1,3,NPR1,25.41
B. subtilis,1,1,EDS1,25.97
B. subtilis,1,2,EDS1,25.84
B. subtilis,1,3,EDS1,26.21
B. subtilis,1,1,PAD4,26.07
B. subtilis,1,2,PAD4,26.01
B. subtilis,1,3,PAD4,26.39
B. subtilis,1,1,PDF1.2,29.73
B. subtilis,1,2,PDF1.2,29.41
B. subtilis,1,3,PDF1.2,29.55
B. subtilis,4,1,NPR1,25.95
B. subtilis,4,2,NPR1,26.09
B. subtilis,4,3,NPR1,26.03
B. subtilis,4,1,EDS1,27.21
B. subtilis,4,2,EDS1,27.1
B. subtilis,4,3,EDS1,27.08
B. subtilis,4,1,PAD4,27.11
B. subtilis,4,2,PAD4,27.34
B. subtilis,4,3,PAD4,27.43
B. subtilis,4,1,PDF1.2,30.16
B. subtilis,4,2,PDF1.2,30.04
B. subtilis,4,3,PDF1.2,30.05
B. subtilis,7,1,NPR1,24.24
B. subtilis,7,2,NPR1,24.27
B. subtilis,7,3,NPR1,24.44
B. subtilis,7,1,EDS1,25.01
B. subtilis,7,2,EDS1,25.12
B. subtilis,7,3,EDS1,25.09
