Treatment,Dpi,Rep,Cq
P. fluorescens,IL-1,1,22.64
P. fluorescens,IL-1,2,22.68
P. fluorescens,IL-1,3,22.82
S. marcescens,IL-1,1,22.27
S. marcescens,IL-1,2,22.26
S. marcescens,IL-1,3,22.43
B. subtilis,IL-1,1,20.8
B. subtilis,IL-1,2,21.02
B. subtilis,IL-1,3,20.7
P. fluorescens,IL-4,1,27.51
P. fluorescens,IL-4,2,26.86
P. fluorescens,IL-4,3,27.62
S. marcescens,IL-4,1,23.18
S. marcescens,IL-4,2,23.19
S. marcescens,IL-4,3,23.23
B. subtilis,IL-4,1,22.38
B. subtilis,IL-4,2,22.07
B. subtilis,IL-4,3,22.23
P. fluorescens,IL-7,1,23.97
P. fluorescens,IL-7,2,24.02
P. fluorescens,IL-7,3,24.35
S. marcescens,IL-7,1,23.46
S. marcescens,IL-7,2,23.67
S. marcescens,IL-7,3,23.67
B. subtilis,IL-7,1,24.62
B. subtilis,IL-7,2,24.75
B. subtilis,IL-7,3,24.8
P. fluorescens,IL-10,1,28.25
P. fluorescens,IL-10,2,28.14
P. fluorescens,IL-10,3,28.23
S. marcescens,IL-10,1,29.42
S. marcescens,IL-10,2,30.02
S. marcescens,IL-10,3,29.96
B. subtilis,IL-10,1,24.91
B. subtilis,IL-10,2,25.14
B. subtilis,IL-10,3,24.78
P. fluorescens,SL-7,1,30.79
P. fluorescens,SL-7,2,30.44
P. fluorescens,SL-7,3,30.13
S. marcescens,SL-7,1,31.94
S. marcescens,SL-7,2,31.82
S. marcescens,SL-7,3,31.23
B. subtilis,SL-7,1,29.76
B. subtilis,SL-7,2,29.43
B. subtilis,SL-7,3,29.32
P. fluorescens,SL-10,1,25.15
P. fluorescens,SL-10,2,25.31
P. fluorescens,SL-10,3,25.38
S. marcescens,SL-10,1,30.5
S. marcescens,SL-10,2,30.35
S. marcescens,SL-10,3,29.93
B. subtilis,SL-10,1,30.48
B. subtilis,SL-10,2,30.16
B. subtilis,SL-10,3,29.01
Control,IL-1,1,19.98
Control,IL-1,2,20.09
Control,IL-1,3,20.13
Control,IL-4,1,17.95
Control,IL-4,2,18.04
Control,IL-4,3,18.33
Control,IL-7,1,16.36
Control,IL-7,2,16.42
Control,IL-7,3,16.21
Control,IL-10,1,12.06
Control,IL-10,2,11.77
Control,IL-10,3,11.83
Control,SL-7,1,23.44
Control,SL-7,2,23.07
Control,SL-7,3,22.93
Control,SL-10,1,23.97
Control,SL-10,2,23.96
Control,SL-10,3,23.94
P. fluorescens,SL-14,1,25.6
P. fluorescens,SL-14,2,25.89
P. fluorescens,SL-14,3,26.26
S. marcescens,SL-14,1,25.15
S. marcescens,SL-14,2,24.69
S. marcescens,SL-14,3,24.66
B. subtilis,SL-14,1,24.15
B. subtilis,SL-14,2,23.57
B. subtilis,SL-14,3,23.6
Control,SL-14,1,12.31
Control,SL-14,2,12.49
Control,SL-14,3,12.7
