Treatment,Dpi,Rep,Cq
P. fluorescens,IL-1,1,20.44
P. fluorescens,IL-1,2,20.56
P. fluorescens,IL-1,3,20.7
S. marcescens,IL-1,1,19.59
S. marcescens,IL-1,2,19.68
S. marcescens,IL-1,3,19.87
B. subtilis,IL-1,1,18.09
B. subtilis,IL-1,2,18.04
B. subtilis,IL-1,3,18.14
P. fluorescens,IL-4,1,23.54
P. fluorescens,IL-4,2,23.59
P. fluorescens,IL-4,3,23.61
S. marcescens,IL-4,1,19.74
S. marcescens,IL-4,2,19.87
S. marcescens,IL-4,3,19.63
B. subtilis,IL-4,1,13.45
B. subtilis,IL-4,2,13.83
B. subtilis,IL-4,3,13.72
P. fluorescens,IL-7,1,14.27
P. fluorescens,IL-7,2,14.12
P. fluorescens,IL-7,3,13.8
S. marcescens,IL-7,1,13.57
S. marcescens,IL-7,2,13.98
S. marcescens,IL-7,3,14.26
B. subtilis,IL-7,1,11.42
B. subtilis,IL-7,2,11.8
B. subtilis,IL-7,3,12.04
P. fluorescens,IL-10,1,12.65
P. fluorescens,IL-10,2,12.63
P. fluorescens,IL-10,3,12.6
S. marcescens,IL-10,1,12.13
S. marcescens,IL-10,2,12.54
S. marcescens,IL-10,3,11.62
B. subtilis,IL-10,1,10.8
B. subtilis,IL-10,2,11.04
B. subtilis,IL-10,3,11.21
P. fluorescens,SL-7,1,14.61
P. fluorescens,SL-7,2,14.77
P. fluorescens,SL-7,3,14.97
S. marcescens,SL-7,1,18.45
S. marcescens,SL-7,2,18.56
S. marcescens,SL-7,3,18.56
B. subtilis,SL-7,1,13.2
B. subtilis,SL-7,2,13.19
B. subtilis,SL-7,3,12.73
P. fluorescens,SL-10,1,23.77
P. fluorescens,SL-10,2,23.8
P. fluorescens,SL-10,3,23.51
S. marcescens,SL-10,1,16.3
S. marcescens,SL-10,2,16.61
S. marcescens,SL-10,3,16.8
B. subtilis,SL-10,1,14.46
B. subtilis,SL-10,2,14.44
B. subtilis,SL-10,3,14.71
Control,IL-1,1,17.09
Control,IL-1,2,17.52
Control,IL-1,3,17.33
Control,IL-4,1,18.59
Control,IL-4,2,18.86
Control,IL-4,3,18.61
Control,IL-7,1,11.3
Control,IL-7,2,11.62
Control,IL-7,3,11.34
Control,IL-10,1,10.57
Control,IL-10,2,10.91
Control,IL-10,3,10.93
Control,SL-7,1,11.96
Control,SL-7,2,12.42
Control,SL-7,3,12.38
Control,SL-10,1,14.71
Control,SL-10,2,14.62
Control,SL-10,3,14.22
P. fluorescens,SL-14,1,13.31
P. fluorescens,SL-14,2,13.59
P. fluorescens,SL-14,3,13.61
S. marcescens,SL-14,1,13.67
S. marcescens,SL-14,2,13.08
S. marcescens,SL-14,3,13.06
B. subtilis,SL-14,1,11.86
B. subtilis,SL-14,2,12.41
B. subtilis,SL-14,3,12.13
Control,SL-14,1,10.78
Control,SL-14,2,10.88
Control,SL-14,3,10.83
