Treatment,Rep,Dpi,Cq
P. fluorescens,1,IL-1,23.02
P. fluorescens,2,IL-1,23.29
P. fluorescens,3,IL-1,23.16
S. marcescens,1,IL-1,25.3
S. marcescens,2,IL-1,25.24
S. marcescens,3,IL-1,25.27
B. subtilis,1,IL-1,23.04
B. subtilis,2,IL-1,23.23
B. subtilis,3,IL-1,23.46
P. fluorescens,1,IL-4,25.09
P. fluorescens,2,IL-4,25.22
P. fluorescens,3,IL-4,25.14
S. marcescens,1,IL-4,27.15
S. marcescens,2,IL-4,27.1
S. marcescens,3,IL-4,27.31
B. subtilis,1,IL-4,24.8
B. subtilis,2,IL-4,25.21
B. subtilis,3,IL-4,25.33
P. fluorescens,1,SL-7,30
P. fluorescens,2,SL-7,29.12
P. fluorescens,3,SL-7,29.38
S. marcescens,1,SL-7,28.8
S. marcescens,2,SL-7,28.59
S. marcescens,3,SL-7,28.48
B. subtilis,1,SL-7,27.1
B. subtilis,2,SL-7,26.74
B. subtilis,3,SL-7,26.51
P. fluorescens,1,SL-10,28
P. fluorescens,2,SL-10,28.06
P. fluorescens,3,SL-10,28.09
S. marcescens,1,SL-10,28.08
S. marcescens,2,SL-10,28.37
S. marcescens,3,SL-10,27.14
B. subtilis,1,SL-10,27.11
B. subtilis,2,SL-10,27.32
B. subtilis,3,SL-10,26.75
Control,1,IL-1,21.47
Control,2,IL-1,21.46
Control,3,IL-1,21.47
Control,1,IL-4,16.69
Control,2,IL-4,16.43
Control,3,IL-4,16.57
Control,1,SL-7,18.37
Control,2,SL-7,18.54
Control,3,SL-7,18.43
Control,1,SL-10,9.94
Control,2,SL-10,10.29
Control,3,SL-10,10.1
P. fluorescens,4,IL-1,26.08
P. fluorescens,5,IL-1,26.11
P. fluorescens,6,IL-1,25.89
S. marcescens,4,IL-1,25.54
S. marcescens,5,IL-1,25.88
S. marcescens,6,IL-1,26.24
B. subtilis,4,IL-1,24.25
B. subtilis,5,IL-1,24.39
B. subtilis,6,IL-1,24.5
P. fluorescens,4,IL-4,25.99
P. fluorescens,5,IL-4,26.2
P. fluorescens,6,IL-4,27.23
S. marcescens,4,IL-4,26.6
S. marcescens,5,IL-4,26.9
S. marcescens,6,IL-4,26.38
B. subtilis,4,IL-4,19.46
B. subtilis,5,IL-4,19.54
B. subtilis,6,IL-4,19.26
P. fluorescens,4,SL-7,28.76
P. fluorescens,5,SL-7,28.85
P. fluorescens,6,SL-7,28.36
S. marcescens,4,SL-7,28.11
S. marcescens,5,SL-7,27.88
S. marcescens,6,SL-7,27.93
B. subtilis,4,SL-7,27.19
B. subtilis,5,SL-7,27.4
B. subtilis,6,SL-7,27.47
P. fluorescens,4,SL-10,26.95
P. fluorescens,5,SL-10,26.82
P. fluorescens,6,SL-10,27.32
S. marcescens,4,SL-10,25.87
S. marcescens,5,SL-10,25.45
S. marcescens,6,SL-10,25.69
B. subtilis,4,SL-10,26.02
B. subtilis,5,SL-10,25.79
B. subtilis,6,SL-10,25.86
Control,4,IL-1,21.28
Control,5,IL-1,21.38
Control,6,IL-1,21.43
Control,4,IL-4,23.93
Control,5,IL-4,24.08
Control,6,IL-4,24.02
Control,4,SL-7,26.2
Control,5,SL-7,26.86
Control,6,SL-7,26.85
Control,4,SL-10,14.48
Control,5,SL-10,14.22
Control,6,SL-10,14.34
P. fluorescens,7,IL-1,23.44
P. fluorescens,8,IL-1,23.63
P. fluorescens,9,IL-1,23.76
S. marcescens,7,IL-1,25.61
S. marcescens,8,IL-1,25.78
S. marcescens,9,IL-1,25.74
B. subtilis,7,IL-1,26.51
B. subtilis,8,IL-1,26.48
B. subtilis,9,IL-1,26.44
P. fluorescens,7,IL-4,21.55
P. fluorescens,8,IL-4,21.52
P. fluorescens,9,IL-4,21.62
S. marcescens,7,IL-4,19.42
S. marcescens,8,IL-4,19.27
S. marcescens,9,IL-4,19.3
B. subtilis,7,IL-4,17.72
B. subtilis,8,IL-4,17.67
B. subtilis,9,IL-4,17.78
P. fluorescens,7,SL-7,28.2
P. fluorescens,8,SL-7,28.28
P. fluorescens,9,SL-7,28.14
S. marcescens,7,SL-7,26.63
S. marcescens,8,SL-7,26.41
S. marcescens,9,SL-7,26.59
B. subtilis,7,SL-7,26.44
B. subtilis,8,SL-7,26.62
B. subtilis,9,SL-7,27.02
P. fluorescens,7,SL-10,27.72
P. fluorescens,8,SL-10,28.04
P. fluorescens,9,SL-10,28.13
S. marcescens,7,SL-10,26.72
S. marcescens,8,SL-10,26.87
S. marcescens,9,SL-10,26.42
B. subtilis,7,SL-10,26.76
B. subtilis,8,SL-10,26.69
B. subtilis,9,SL-10,26.87
Control,7,IL-1,21.36
Control,8,IL-1,21.22
Control,9,IL-1,21.31
Control,7,IL-4,16.23
Control,8,IL-4,16.23
Control,9,IL-4,16.28
Control,7,SL-7,24.92
Control,8,SL-7,24.6
Control,9,SL-7,25.06
Control,7,SL-10,19.42
Control,8,SL-10,19.39
Control,9,SL-10,19.45
