Treatment,Rep,Dpi,Cq
P. fluorescens,1,IL-1,23.02
P. fluorescens,2,IL-1,23.29
P. fluorescens,3,IL-1,23.16
S. marcescens,1,IL-1,25.3
S. marcescens,2,IL-1,25.24
S. marcescens,3,IL-1,25.27
B. subtilis,1,IL-1,23.04
B. subtilis,2,IL-1,23.23
B. subtilis,3,IL-1,23.46
P. fluorescens,1,IL-4,25.09
P. fluorescens,2,IL-4,25.22
P. fluorescens,3,IL-4,25.14
S. marcescens,1,IL-4,27.15
S. marcescens,2,IL-4,27.1
S. marcescens,3,IL-4,27.31
B. subtilis,1,IL-4,24.8
B. subtilis,2,IL-4,25.21
B. subtilis,3,IL-4,25.33
P. fluorescens,1,IL-7,26.28
P. fluorescens,2,IL-7,26.28
P. fluorescens,3,IL-7,26.27
S. marcescens,1,IL-7,28.49
S. marcescens,2,IL-7,28.69
S. marcescens,3,IL-7,28.1
B. subtilis,1,IL-7,10.78
B. subtilis,2,IL-7,10.93
B. subtilis,3,IL-7,10.84
P. fluorescens,1,IL-10,15.97
P. fluorescens,2,IL-10,15.95
P. fluorescens,3,IL-10,15.88
S. marcescens,1,IL-10,16.48
S. marcescens,2,IL-10,16.64
S. marcescens,3,IL-10,16.7
B. subtilis,1,IL-10,25.56
B. subtilis,2,IL-10,25.58
B. subtilis,3,IL-10,25.6
P. fluorescens,1,SL-7,30
P. fluorescens,2,SL-7,29.12
P. fluorescens,3,SL-7,29.38
S. marcescens,1,SL-7,28.8
S. marcescens,2,SL-7,28.59
S. marcescens,3,SL-7,28.48
B. subtilis,1,SL-7,27.1
B. subtilis,2,SL-7,26.74
B. subtilis,3,SL-7,26.51
P. fluorescens,1,SL-10,28
P. fluorescens,2,SL-10,28.06
P. fluorescens,3,SL-10,28.09
S. marcescens,1,SL-10,28.08
S. marcescens,2,SL-10,28.37
S. marcescens,3,SL-10,27.14
B. subtilis,1,SL-10,27.11
B. subtilis,2,SL-10,27.32
B. subtilis,3,SL-10,26.75
Control,1,IL-1,21.47
Control,2,IL-1,21.46
Control,3,IL-1,21.47
Control,1,IL-4,16.69
Control,2,IL-4,16.43
Control,3,IL-4,16.57
Control,1,IL-7,9.65
Control,2,IL-7,9.93
Control,3,IL-7,9.78
Control,1,IL-10,10.42
Control,2,IL-10,10.94
Control,3,IL-10,10.56
Control,1,SL-7,18.37
Control,2,SL-7,18.54
Control,3,SL-7,18.43
Control,1,SL-10,9.94
Control,2,SL-10,10.29
Control,3,SL-10,10.1
P. fluorescens,1,SL-14,10.79
P. fluorescens,2,SL-14,10.81
P. fluorescens,3,SL-14,10.79
S. marcescens,1,SL-14,26.91
S. marcescens,2,SL-14,26.69
S. marcescens,3,SL-14,26.75
B. subtilis,1,SL-14,26.84
B. subtilis,2,SL-14,26.92
B. subtilis,3,SL-14,26.63
Control,1,SL-14,10.39
Control,2,SL-14,10.31
Control,3,SL-14,10.09
