Treatment,Rep,Dpi,Cq
P. fluorescens,1,IL-1,23.67
P. fluorescens,2,IL-1,23.87
P. fluorescens,3,IL-1,23.96
S. marcescens,1,IL-1,23.67
S. marcescens,2,IL-1,23.82
S. marcescens,3,IL-1,23.89
B. amyloliquifaciens,1,IL-1,24.35
B. amyloliquifaciens,2,IL-1,24.58
B. amyloliquifaciens,3,IL-1,24.41
B. subtilis,1,IL-1,25
B. subtilis,2,IL-1,25.22
B. subtilis,3,IL-1,25.29
P. fluorescens,1,IL-4,21.55
P. fluorescens,2,IL-4,21.52
P. fluorescens,3,IL-4,21.62
S. marcescens,1,IL-4,17.11
S. marcescens,2,IL-4,17.19
S. marcescens,3,IL-4,17.18
B. amyloliquifaciens,1,IL-4,17.01
B. amyloliquifaciens,2,IL-4,17.14
B. amyloliquifaciens,3,IL-4,17.16
B. subtilis,1,IL-4,15.83
B. subtilis,2,IL-4,15.85
B. subtilis,3,IL-4,15.87
P. fluorescens,1,IL-7,12.45
P. fluorescens,2,IL-7,12.77
P. fluorescens,3,IL-7,12.56
S. marcescens,1,IL-7,25.73
S. marcescens,2,IL-7,25.92
S. marcescens,3,IL-7,25.71
B. amyloliquifaciens,1,IL-7,14.86
B. amyloliquifaciens,2,IL-7,14.93
B. amyloliquifaciens,3,IL-7,14.77
B. subtilis,1,IL-7,25.01
B. subtilis,2,IL-7,24.68
B. subtilis,3,IL-7,24.51
P. fluorescens,1,IL-10,11.22
P. fluorescens,2,IL-10,11.23
P. fluorescens,3,IL-10,11.12
S. marcescens,1,IL-10,14.68
S. marcescens,2,IL-10,14.72
S. marcescens,3,IL-10,14.79
B. amyloliquifaciens,1,IL-10,10.3
B. amyloliquifaciens,2,IL-10,10.52
B. amyloliquifaciens,3,IL-10,10.44
B. subtilis,1,IL-10,12.38
B. subtilis,2,IL-10,12.91
B. subtilis,3,IL-10,12.86
P. fluorescens,1,SL-7,14.17
P. fluorescens,2,SL-7,14.23
P. fluorescens,3,SL-7,14.03
S. marcescens,1,SL-7,12.24
S. marcescens,2,SL-7,12.79
S. marcescens,3,SL-7,12.61
B. amyloliquifaciens,1,SL-7,14.49
B. amyloliquifaciens,2,SL-7,13.74
B. amyloliquifaciens,3,SL-7,13.57
B. subtilis,1,SL-7,12.81
B. subtilis,2,SL-7,13.13
B. subtilis,3,SL-7,13.11
P. fluorescens,1,SL-10,12.09
P. fluorescens,2,SL-10,11.88
P. fluorescens,3,SL-10,12.12
S. marcescens,1,SL-10,11.96
S. marcescens,2,SL-10,12.05
S. marcescens,3,SL-10,11.86
B. amyloliquifaciens,1,SL-10,13.91
B. amyloliquifaciens,2,SL-10,13.55
B. amyloliquifaciens,3,SL-10,13.67
B. subtilis,1,SL-10,13.42
B. subtilis,2,SL-10,13.39
B. subtilis,3,SL-10,13.54
Control,1,IL-1,23.5
Control,2,IL-1,23.2
Control,3,IL-1,22.79
Control,1,IL-4,23.93
Control,2,IL-4,24.08
Control,3,IL-4,24.02
Control,1,IL-7,23.94
Control,2,IL-7,23.88
Control,3,IL-7,24.04
Control,1,IL-10,23.76
Control,2,IL-10,23.6
Control,3,IL-10,23.54
Control,1,SL-7,24.39
Control,2,SL-7,24.39
Control,3,SL-7,24.37
Control,1,SL-10,12.56
Control,2,SL-10,12.46
Control,3,SL-10,12.24
Control,1,SL-14,12.61
Control,2,SL-14,12.07
Control,3,SL-14,12.12
P. fluorescens,1,SL-14,12.36
P. fluorescens,2,SL-14,12.5
P. fluorescens,3,SL-14,12.66
S. marcescens,1,SL-14,11.07
S. marcescens,2,SL-14,11.06
S. marcescens,3,SL-14,11.15
B. amyloliquifaciens,1,SL-14,11.47
B. amyloliquifaciens,2,SL-14,11.61
B. amyloliquifaciens,3,SL-14,12.1
B. subtilis,1,SL-14,11.44
B. subtilis,2,SL-14,11.6
B. subtilis,3,SL-14,11.41
