Treatment,Rep,Dpi,Cq,Exp
P. fluorescens,1,IL-1,23.02,1
P. fluorescens,2,IL-1,23.29,1
P. fluorescens,3,IL-1,23.16,1
S. marcescens,1,IL-1,25.3,1
S. marcescens,2,IL-1,25.24,1
S. marcescens,3,IL-1,25.27,1
B. subtilis,1,IL-1,23.04,1
B. subtilis,2,IL-1,23.23,1
B. subtilis,3,IL-1,23.46,1
P. fluorescens,1,IL-4,25.09,1
P. fluorescens,2,IL-4,25.22,1
P. fluorescens,3,IL-4,25.14,1
S. marcescens,1,IL-4,27.15,1
S. marcescens,2,IL-4,27.1,1
S. marcescens,3,IL-4,27.31,1
B. subtilis,1,IL-4,24.8,1
B. subtilis,2,IL-4,25.21,1
B. subtilis,3,IL-4,25.33,1
P. fluorescens,1,IL-7,26.28,1
P. fluorescens,2,IL-7,26.28,1
P. fluorescens,3,IL-7,26.27,1
S. marcescens,1,IL-7,28.49,1
S. marcescens,2,IL-7,28.69,1
S. marcescens,3,IL-7,28.1,1
B. subtilis,1,IL-7,10.78,1
B. subtilis,2,IL-7,10.93,1
B. subtilis,3,IL-7,10.84,1
P. fluorescens,1,IL-10,15.97,1
P. fluorescens,2,IL-10,15.95,1
P. fluorescens,3,IL-10,15.88,1
S. marcescens,1,IL-10,16.48,1
S. marcescens,2,IL-10,16.64,1
S. marcescens,3,IL-10,16.7,1
B. subtilis,1,IL-10,25.56,1
B. subtilis,2,IL-10,25.58,1
B. subtilis,3,IL-10,25.6,1
P. fluorescens,1,SL-7,30,1
P. fluorescens,2,SL-7,29.12,1
P. fluorescens,3,SL-7,29.38,1
S. marcescens,1,SL-7,28.8,1
S. marcescens,2,SL-7,28.59,1
S. marcescens,3,SL-7,28.48,1
B. subtilis,1,SL-7,27.1,1
B. subtilis,2,SL-7,26.74,1
B. subtilis,3,SL-7,26.51,1
P. fluorescens,1,SL-10,28,1
P. fluorescens,2,SL-10,28.06,1
P. fluorescens,3,SL-10,28.09,1
S. marcescens,1,SL-10,28.08,1
S. marcescens,2,SL-10,28.37,1
S. marcescens,3,SL-10,27.14,1
B. subtilis,1,SL-10,27.11,1
B. subtilis,2,SL-10,27.32,1
B. subtilis,3,SL-10,26.75,1
Control,1,IL-1,21.47,1
Control,2,IL-1,21.46,1
Control,3,IL-1,21.47,1
Control,1,IL-4,16.69,1
Control,2,IL-4,16.43,1
Control,3,IL-4,16.57,1
Control,1,IL-7,9.65,1
Control,2,IL-7,9.93,1
Control,3,IL-7,9.78,1
Control,1,IL-10,10.42,1
Control,2,IL-10,10.94,1
Control,3,IL-10,10.56,1
Control,1,SL-7,18.37,1
Control,2,SL-7,18.54,1
Control,3,SL-7,18.43,1
Control,1,SL-10,9.94,1
Control,2,SL-10,10.29,1
Control,3,SL-10,10.1,1
P. fluorescens,1,SL-14,10.79,1
P. fluorescens,2,SL-14,10.81,1
P. fluorescens,3,SL-14,10.79,1
S. marcescens,1,SL-14,26.91,1
S. marcescens,2,SL-14,26.69,1
S. marcescens,3,SL-14,26.75,1
B. subtilis,1,SL-14,26.84,1
B. subtilis,2,SL-14,26.92,1
B. subtilis,3,SL-14,26.63,1
Control,1,SL-14,10.39,1
Control,2,SL-14,10.31,1
Control,3,SL-14,10.09,1
P. fluorescens,1,IL-1,26.08,2
P. fluorescens,2,IL-1,26.11,2
P. fluorescens,3,IL-1,25.89,2
S. marcescens,1,IL-1,25.54,2
S. marcescens,2,IL-1,25.88,2
S. marcescens,3,IL-1,26.24,2
B. subtilis,1,IL-1,24.25,2
B. subtilis,2,IL-1,24.39,2
B. subtilis,3,IL-1,24.5,2
P. fluorescens,1,IL-4,25.99,2
P. fluorescens,2,IL-4,26.2,2
P. fluorescens,3,IL-4,27.23,2
S. marcescens,1,IL-4,26.6,2
S. marcescens,2,IL-4,26.9,2
S. marcescens,3,IL-4,26.38,2
B. subtilis,1,IL-4,19.46,2
B. subtilis,2,IL-4,19.54,2
B. subtilis,3,IL-4,19.26,2
P. fluorescens,1,IL-7,28.38,2
P. fluorescens,2,IL-7,27.66,2
P. fluorescens,3,IL-7,28.3,2
S. marcescens,1,IL-7,27.48,2
S. marcescens,2,IL-7,28.28,2
S. marcescens,3,IL-7,28.05,2
B. subtilis,1,IL-7,26.44,2
B. subtilis,2,IL-7,26.71,2
B. subtilis,3,IL-7,26.59,2
P. fluorescens,1,IL-10,12.84,2
P. fluorescens,2,IL-10,13.13,2
P. fluorescens,3,IL-10,12.9,2
S. marcescens,1,IL-10,14.42,2
S. marcescens,2,IL-10,13.8,2
S. marcescens,3,IL-10,12.7,2
B. subtilis,1,IL-10,25.18,2
B. subtilis,2,IL-10,25.44,2
B. subtilis,3,IL-10,25.24,2
P. fluorescens,1,SL-7,28.76,2
P. fluorescens,2,SL-7,28.85,2
P. fluorescens,3,SL-7,28.36,2
S. marcescens,1,SL-7,28.11,2
S. marcescens,2,SL-7,27.88,2
S. marcescens,3,SL-7,27.93,2
B. subtilis,1,SL-7,27.19,2
B. subtilis,2,SL-7,27.4,2
B. subtilis,3,SL-7,27.47,2
P. fluorescens,1,SL-10,26.95,2
P. fluorescens,2,SL-10,26.82,2
P. fluorescens,3,SL-10,27.32,2
S. marcescens,1,SL-10,25.87,2
S. marcescens,2,SL-10,25.45,2
S. marcescens,3,SL-10,25.69,2
B. subtilis,1,SL-10,26.02,2
B. subtilis,2,SL-10,25.79,2
B. subtilis,3,SL-10,25.86,2
Control,1,IL-1,21.28,2
Control,2,IL-1,21.38,2
Control,3,IL-1,21.43,2
Control,1,IL-4,23.93,2
Control,2,IL-4,24.08,2
Control,3,IL-4,24.02,2
Control,1,IL-7,14.94,2
Control,2,IL-7,15,2
Control,3,IL-7,15.05,2
Control,1,IL-10,11.75,2
Control,2,IL-10,11.77,2
Control,3,IL-10,11.88,2
Control,1,SL-7,26.2,2
Control,2,SL-7,26.86,2
Control,3,SL-7,26.85,2
Control,1,SL-10,14.48,2
Control,2,SL-10,14.22,2
Control,3,SL-10,14.34,2
Control,1,SL-14,11.6,2
Control,2,SL-14,11.31,2
Control,3,SL-14,11.15,2
P. fluorescens,1,SL-14,19.9,2
P. fluorescens,2,SL-14,19.94,2
P. fluorescens,3,SL-14,19.87,2
S. marcescens,1,SL-14,28.15,2
S. marcescens,2,SL-14,28.39,2
S. marcescens,3,SL-14,26.46,2
B. subtilis,1,SL-14,28.1,2
B. subtilis,2,SL-14,28.46,2
B. subtilis,3,SL-14,28.25,2
P. fluorescens,1,IL-1,23.44,3
