Treatment,Dpi,Rep,Cq
P. fluorescens,IL-1,1,23.47
P. fluorescens,IL-1,2,23.34
P. fluorescens,IL-1,3,23.49
S. marcescens,IL-1,1,22.26
S. marcescens,IL-1,2,22.41
S. marcescens,IL-1,3,22.47
B. subtilis,IL-1,1,22.23
B. subtilis,IL-1,2,22.38
B. subtilis,IL-1,3,22.27
P. fluorescens,IL-4,1,23.84
P. fluorescens,IL-4,2,23.87
P. fluorescens,IL-4,3,23.9
S. marcescens,IL-4,1,23.45
S. marcescens,IL-4,2,23.19
S. marcescens,IL-4,3,23.34
B. subtilis,IL-4,1,21.9
B. subtilis,IL-4,2,22.06
B. subtilis,IL-4,3,22.32
P. fluorescens,IL-7,1,23.59
P. fluorescens,IL-7,2,23.27
P. fluorescens,IL-7,3,23.45
S. marcescens,IL-7,1,22.54
S. marcescens,IL-7,2,22.87
S. marcescens,IL-7,3,22.79
B. subtilis,IL-7,1,23.11
B. subtilis,IL-7,2,23.02
B. subtilis,IL-7,3,22.85
P. fluorescens,IL-10,1,24.49
P. fluorescens,IL-10,2,24.38
P. fluorescens,IL-10,3,24.3
S. marcescens,IL-10,1,22.06
S. marcescens,IL-10,2,22.26
S. marcescens,IL-10,3,22.19
B. subtilis,IL-10,1,22.09
B. subtilis,IL-10,2,22.33
B. subtilis,IL-10,3,21.91
P. fluorescens,SL-7,1,31.87
P. fluorescens,SL-7,2,31.82
P. fluorescens,SL-7,3,31.88
S. marcescens,SL-7,1,32.57
S. marcescens,SL-7,2,31.53
S. marcescens,SL-7,3,32.41
B. subtilis,SL-7,1,31.87
B. subtilis,SL-7,2,31.63
B. subtilis,SL-7,3,32.05
P. fluorescens,SL-10,1,31.91
P. fluorescens,SL-10,2,32.03
P. fluorescens,SL-10,3,32.23
S. marcescens,SL-10,1,31.28
S. marcescens,SL-10,2,31.54
S. marcescens,SL-10,3,31.04
B. subtilis,SL-10,1,30.56
B. subtilis,SL-10,2,30.35
B. subtilis,SL-10,3,30.27
Control,IL-1,1,20.69
Control,IL-1,2,20.96
Control,IL-1,3,20.91
Control,IL-4,1,22.6
Control,IL-4,2,22.36
Control,IL-4,3,22.52
Control,IL-7,1,21.37
Control,IL-7,2,21.29
Control,IL-7,3,21.1
Control,IL-10,1,21.36
Control,IL-10,2,21.23
Control,IL-10,3,21.14
Control,SL-7,1,28.54
Control,SL-7,2,28.7
Control,SL-7,3,28.83
Control,SL-10,1,24.79
Control,SL-10,2,24.71
Control,SL-10,3,24.57
P. fluorescens,SL-14,1,35.25
P. fluorescens,SL-14,2,33.79
P. fluorescens,SL-14,3,33.62
S. marcescens,SL-14,1,33.53
S. marcescens,SL-14,2,32.9
S. marcescens,SL-14,3,33.63
B. subtilis,SL-14,1,30.13
B. subtilis,SL-14,2,29.72
B. subtilis,SL-14,3,30.19
Control,SL-14,1,31.65
Control,SL-14,2,31.68
Control,SL-14,3,31.39
