Treatment,Dpi,Rep,Cq
P. fluorescens,IL-1,1,23.05226963
P. fluorescens,IL-1,2,23.07302454
P. fluorescens,IL-1,3,22.9847284
S. marcescens,IL-1,1,22.82329463
S. marcescens,IL-1,2,22.7932699
S. marcescens,IL-1,3,22.97308692
B. subtilis,IL-1,1,22.34865901
B. subtilis,IL-1,2,22.31188783
B. subtilis,IL-1,3,22.36524497
P. fluorescens,IL-4,1,23.31706525
P. fluorescens,IL-4,2,23.0427194
P. fluorescens,IL-4,3,23.07681923
S. marcescens,IL-4,1,23.22381254
S. marcescens,IL-4,2,23.1211658
S. marcescens,IL-4,3,23.24557259
B. subtilis,IL-4,1,20.90921589
B. subtilis,IL-4,2,20.97491078
B. subtilis,IL-4,3,20.67215698
P. fluorescens,IL-7,1,25.51025517
P. fluorescens,IL-7,2,25.42167484
P. fluorescens,IL-7,3,25.25167865
S. marcescens,IL-7,1,23.83942935
S. marcescens,IL-7,2,22.32048396
S. marcescens,IL-7,3,22.81408856
B. subtilis,IL-7,1,20.0527491
B. subtilis,IL-7,2,20.36657985
B. subtilis,IL-7,3,20.34008224
P. fluorescens,IL-10,1,26.42898505
P. fluorescens,IL-10,2,25.7491375
P. fluorescens,IL-10,3,25.47051379
S. marcescens,IL-10,1,26.61
S. marcescens,IL-10,2,26.04
S. marcescens,IL-10,3,26.04
B. subtilis,IL-10,1,19.02
B. subtilis,IL-10,2,18.89
B. subtilis,IL-10,3,19.01
P. fluorescens,SL-7,1,30.77096596
P. fluorescens,SL-7,2,31.00773023
P. fluorescens,SL-7,3,31.53844737
S. marcescens,SL-7,1,35.302278
S. marcescens,SL-7,2,33.80351611
S. marcescens,SL-7,3,33.35042524
B. subtilis,SL-7,1,31.69293174
B. subtilis,SL-7,2,32.1340678
B. subtilis,SL-7,3,31.85524283
P. fluorescens,SL-10,1,31.37698234
P. fluorescens,SL-10,2,31.78269832
P. fluorescens,SL-10,3,31.2421393
S. marcescens,SL-10,1,30.87718787
S. marcescens,SL-10,2,30.83757812
S. marcescens,SL-10,3,31.10813858
B. subtilis,SL-10,1,32.25799939
B. subtilis,SL-10,2,32.06849142
B. subtilis,SL-10,3,31.60578563
Control,IL-1,1,21.72554272
Control,IL-1,2,22.13594845
Control,IL-1,3,21.92137066
Control,IL-4,1,21.57387178
Control,IL-4,2,21.76588193
Control,IL-4,3,21.75794534
Control,IL-7,1,21.92907156
Control,IL-7,2,22.25675764
Control,IL-7,3,21.86250934
Control,IL-10,1,21.64739968
Control,IL-10,2,21.62175478
Control,IL-10,3,21.73372938
Control,SL-7,1,29.71245459
Control,SL-7,2,30.20786338
Control,SL-7,3,30.11885805
Control,SL-10,1,29.55110648
Control,SL-10,2,28.66237007
Control,SL-10,3,28.64023844
P. fluorescens,SL-14,1,31.02361484
P. fluorescens,SL-14,2,32.04612453
P. fluorescens,SL-14,3,31.94279623
S. marcescens,SL-14,1,31.03322205
S. marcescens,SL-14,2,31.09411837
S. marcescens,SL-14,3,31.31107086
B. subtilis,SL-14,1,31.74337066
B. subtilis,SL-14,2,32.68731412
B. subtilis,SL-14,3,31.45097478
Control,SL-14,1,30.106834
Control,SL-14,2,30.16399673
Control,SL-14,3,30.06705678
