PGPR,Dpi,Gene,Rep,Cq
P. fluorescens,1,PR1,1,26.03
P. fluorescens,1,PR1,2,25.81
P. fluorescens,1,PR1,3,26.04
P. fluorescens,1,PR4,1,26.75
P. fluorescens,1,PR4,2,26.87
P. fluorescens,1,PR4,3,26.75
P. fluorescens,1,PR5,1,22.6
P. fluorescens,1,PR5,2,22.55
P. fluorescens,1,PR5,3,22.86
P. fluorescens,1,UBQ,1,24.22
P. fluorescens,1,UBQ,2,24.26
P. fluorescens,1,UBQ,3,24.17
P. fluorescens,4,PR1,1,25.54
P. fluorescens,4,PR1,2,25.95
P. fluorescens,4,PR1,3,25.98
P. fluorescens,4,PR4,1,26.4
P. fluorescens,4,PR4,2,26.43
P. fluorescens,4,PR4,3,27.87
P. fluorescens,4,PR5,1,21.6
P. fluorescens,4,PR5,2,21.64
P. fluorescens,4,PR5,3,21.55
P. fluorescens,4,UBQ,1,24.23
P. fluorescens,4,UBQ,2,24.22
P. fluorescens,4,UBQ,3,24.2
P. fluorescens,7,PR1,1,25.13
P. fluorescens,7,PR1,2,26.54
P. fluorescens,7,PR1,3,26.07
P. fluorescens,7,PR4,1,28.43
P. fluorescens,7,PR4,2,29.18
P. fluorescens,7,PR4,3,29.45
P. fluorescens,7,PR5,1,23.06
P. fluorescens,7,PR5,2,21.76
P. fluorescens,7,PR5,3,21.76
P. fluorescens,7,UBQ,1,24.13
P. fluorescens,7,UBQ,2,24.14
P. fluorescens,7,UBQ,3,25.03
S. marcescens,1,PR1,1,26.27
S. marcescens,1,PR1,2,26.89
S. marcescens,1,PR1,3,26.12
S. marcescens,1,PR4,1,26.82
S. marcescens,1,PR4,2,28.59
S. marcescens,1,PR4,3,28.46
S. marcescens,1,PR5,1,22.79
S. marcescens,1,PR5,2,23.05
S. marcescens,1,PR5,3,22.89
S. marcescens,1,UBQ,1,23.79
S. marcescens,1,UBQ,2,23.85
S. marcescens,1,UBQ,3,23.85
S. marcescens,4,PR1,1,25.38
S. marcescens,4,PR1,2,25.34
S. marcescens,4,PR1,3,25.25
S. marcescens,4,PR4,1,27.98
S. marcescens,4,PR4,2,28.15
S. marcescens,4,PR4,3,28.26
S. marcescens,4,PR5,1,21.47
S. marcescens,4,PR5,2,21.5
S. marcescens,4,PR5,3,21.46
S. marcescens,4,UBQ,1,24.09
S. marcescens,4,UBQ,2,24.16
S. marcescens,4,UBQ,3,24.05
S. marcescens,7,PR1,1,26.77
S. marcescens,7,PR1,2,26.78
S. marcescens,7,PR1,3,27.06
S. marcescens,7,PR4,1,29.07
S. marcescens,7,PR4,2,29.12
S. marcescens,7,PR4,3,29.15
S. marcescens,7,PR5,1,26.83
S. marcescens,7,PR5,2,26.74
S. marcescens,7,PR5,3,26.71
S. marcescens,7,UBQ,1,24.25
S. marcescens,7,UBQ,2,24.27
S. marcescens,7,UBQ,3,24.26
B. subtilis,1,PR1,1,25.99
B. subtilis,1,PR1,2,26.07
B. subtilis,1,PR1,3,26.11
B. subtilis,1,PR4,1,28.86
B. subtilis,1,PR4,2,28.64
B. subtilis,1,PR4,3,28.95
B. subtilis,1,PR5,1,26.25
B. subtilis,1,PR5,2,26.35
B. subtilis,1,PR5,3,26.15
B. subtilis,1,UBQ,1,24.22
B. subtilis,1,UBQ,2,24.38
B. subtilis,1,UBQ,3,24.31
B. subtilis,4,PR1,1,23.04
B. subtilis,4,PR1,2,23.05
B. subtilis,4,PR1,3,22.95
B. subtilis,4,PR4,1,28.02
B. subtilis,4,PR4,2,28.01
B. subtilis,4,PR4,3,27.95
B. subtilis,4,PR5,1,25.95
B. subtilis,4,PR5,2,25.85
B. subtilis,4,PR5,3,25.76
B. subtilis,4,UBQ,1,24.28
B. subtilis,4,UBQ,2,24.31
B. subtilis,4,UBQ,3,24.31
B. subtilis,7,PR1,1,21.64
B. subtilis,7,PR1,2,21.71
B. subtilis,7,PR1,3,21.55
B. subtilis,7,PR4,1,28.42
B. subtilis,7,PR4,2,28.5
B. subtilis,7,PR4,3,28.65
B. subtilis,7,PR5,1,25.69
B. subtilis,7,PR5,2,25.48
B. subtilis,7,PR5,3,25.62
B. subtilis,7,UBQ,1,24.11
B. subtilis,7,UBQ,2,24.23
B. subtilis,7,UBQ,3,24.28
Control,1,PR1,1,26.26
Control,1,PR1,2,26
Control,1,PR1,3,26.02
Control,1,PR4,1,29.23
Control,1,PR4,2,28.97
Control,1,PR4,3,29.11
Control,1,PR5,1,26.14
Control,1,PR5,2,26.27
Control,1,PR5,3,26
Control,1,UBQ,1,24.3
Control,1,UBQ,2,24.33
Control,1,UBQ,3,24.3
Control,4,PR1,1,21.1
Control,4,PR1,2,21.23
Control,4,PR1,3,21.52
Control,4,PR4,1,28.06
Control,4,PR4,2,27.97
Control,4,PR4,3,27.85
Control,4,PR5,1,25.8
Control,4,PR5,2,25.66
Control,4,PR5,3,25.49
Control,4,UBQ,1,24.56
Control,4,UBQ,2,24.6
Control,4,UBQ,3,24.56
Control,7,PR1,1,25.27
Control,7,PR1,2,25.24
Control,7,PR1,3,25.16
Control,7,PR4,1,28.05
Control,7,PR4,2,27.8
Control,7,PR4,3,27.93
Control,7,PR5,1,25.64
Control,7,PR5,2,25.43
Control,7,PR5,3,25.38
Control,7,UBQ,1,24.15
Control,7,UBQ,2,24
Control,7,UBQ,3,24.05
P. fluorescens,1,NPR1,1,23.21
P. fluorescens,1,NPR1,2,23.15
P. fluorescens,1,NPR1,3,23.15
P. fluorescens,1,PAD4,1,24.18
P. fluorescens,1,PAD4,2,24.2
P. fluorescens,1,PAD4,3,24.28
P. fluorescens,1,EDS1,1,22.16
P. fluorescens,1,EDS1,2,22.08
P. fluorescens,1,EDS1,3,22.14
P. fluorescens,1,PDF1.2,1,24.25
P. fluorescens,1,PDF1.2,2,24.51
P. fluorescens,1,PDF1.2,3,24.33
P. fluorescens,4,NPR1,1,23.73
P. fluorescens,4,NPR1,2,23.81
P. fluorescens,4,NPR1,3,23.69
P. fluorescens,4,PAD4,1,25.44
P. fluorescens,4,PAD4,2,25.08
P. fluorescens,4,PAD4,3,25.25
P. fluorescens,4,EDS1,1,23.14
P. fluorescens,4,EDS1,2,23
P. fluorescens,4,EDS1,3,23.1
P. fluorescens,4,PDF1.2,1,23.98
P. fluorescens,4,PDF1.2,2,23.88
P. fluorescens,4,PDF1.2,3,24.01
P. fluorescens,7,NPR1,1,22.52
P. fluorescens,7,NPR1,2,22.44
P. fluorescens,7,NPR1,3,22.73
P. fluorescens,7,PAD4,1,24.54
P. fluorescens,7,PAD4,2,24.52
P. fluorescens,7,PAD4,3,24.49
P. fluorescens,7,EDS1,1,22.35
P. fluorescens,7,EDS1,2,21.85
P. fluorescens,7,EDS1,3,21.92
P. fluorescens,7,PDF1.2,1,22.29
P. fluorescens,7,PDF1.2,2,22.64
P. fluorescens,7,PDF1.2,3,22.45
S. marcescens,1,NPR1,1,22.84
S. marcescens,1,NPR1,2,22.98
S. marcescens,1,NPR1,3,22.89
S. marcescens,1,PAD4,1,24.71
S. marcescens,1,PAD4,2,25.08
S. marcescens,1,PAD4,3,24.46
S. marcescens,1,EDS1,1,22.27
S. marcescens,1,EDS1,2,22.31
S. marcescens,1,EDS1,3,22.2
S. marcescens,1,PDF1.2,1,24.25
S. marcescens,1,PDF1.2,2,24.15
S. marcescens,1,PDF1.2,3,24.35
S. marcescens,4,NPR1,1,23.17
S. marcescens,4,NPR1,2,23.01
S. marcescens,4,NPR1,3,23.07
S. marcescens,4,PAD4,1,24.89
S. marcescens,4,PAD4,2,25.09
S. marcescens,4,PAD4,3,24.96
S. marcescens,4,EDS1,1,22.41
S. marcescens,4,EDS1,2,22.39
S. marcescens,4,EDS1,3,22.4
S. marcescens,4,PDF1.2,1,22.89
S. marcescens,4,PDF1.2,2,22.77
S. marcescens,4,PDF1.2,3,22.8
S. marcescens,7,NPR1,1,23.61
S. marcescens,7,NPR1,2,23.71
S. marcescens,7,NPR1,3,24.67
S. marcescens,7,PAD4,1,25.1
S. marcescens,7,PAD4,2,25.14
S. marcescens,7,PAD4,3,25.2
S. marcescens,7,EDS1,1,23.31
S. marcescens,7,EDS1,2,23.29
S. marcescens,7,EDS1,3,23.36
S. marcescens,7,PDF1.2,1,23.24
S. marcescens,7,PDF1.2,2,23.25
S. marcescens,7,PDF1.2,3,23.22
B. subtilis,1,NPR1,1,23.53
B. subtilis,1,NPR1,2,23.49
B. subtilis,1,NPR1,3,23.49
B. subtilis,1,PAD4,1,24.87
B. subtilis,1,PAD4,2,24.96
B. subtilis,1,PAD4,3,24.68
B. subtilis,1,EDS1,1,22.69
B. subtilis,1,EDS1,2,22.59
B. subtilis,1,EDS1,3,22.86
B. subtilis,1,PDF1.2,1,22.76
B. subtilis,1,PDF1.2,2,22.95
B. subtilis,1,PDF1.2,3,22.81
B. subtilis,4,NPR1,1,23.1
B. subtilis,4,NPR1,2,23.22
B. subtilis,4,NPR1,3,23.12
B. subtilis,4,PAD4,1,24.52
B. subtilis,4,PAD4,2,24.51
B. subtilis,4,PAD4,3,24.45
B. subtilis,4,EDS1,1,22.22
B. subtilis,4,EDS1,2,22.14
B. subtilis,4,EDS1,3,22.17
B. subtilis,4,PDF1.2,1,23.72
B. subtilis,4,PDF1.2,2,23.83
B. subtilis,4,PDF1.2,3,23.72
B. subtilis,7,NPR1,1,23.23
B. subtilis,7,NPR1,2,23.19
B. subtilis,7,NPR1,3,23.17
B. subtilis,7,PAD4,1,23.44
B. subtilis,7,PAD4,2,23.53
B. subtilis,7,PAD4,3,23.56
B. subtilis,7,EDS1,1,22.14
B. subtilis,7,EDS1,2,22.18
B. subtilis,7,EDS1,3,22.25
B. subtilis,7,PDF1.2,1,23.08
B. subtilis,7,PDF1.2,2,23.28
B. subtilis,7,PDF1.2,3,23.25
Control,1,NPR1,1,23.47
Control,1,NPR1,2,23.51
Control,1,NPR1,3,23.34
Control,1,PAD4,1,24.55
Control,1,PAD4,2,24.69
Control,1,PAD4,3,24.9
Control,1,EDS1,1,22.36
Control,1,EDS1,2,22.41
Control,1,EDS1,3,22.27
Control,1,PDF1.2,1,24.46
Control,1,PDF1.2,2,24.33
Control,1,PDF1.2,3,24.42
Control,4,NPR1,1,23.1
Control,4,NPR1,2,23.06
Control,4,NPR1,3,23.16
Control,4,PAD4,1,24.16
Control,4,PAD4,2,24.11
Control,4,PAD4,3,24.18
Control,4,EDS1,1,22.18
Control,4,EDS1,2,22.08
Control,4,EDS1,3,22.13
Control,4,PDF1.2,1,23.29
Control,4,PDF1.2,2,23.3
Control,4,PDF1.2,3,23.3
Control,7,NPR1,1,22.76
Control,7,NPR1,2,22.78
Control,7,NPR1,3,22.67
Control,7,PAD4,1,24.58
Control,7,PAD4,2,24.67
Control,7,PAD4,3,24.54
Control,7,EDS1,1,22.35
Control,7,EDS1,2,22.47
Control,7,EDS1,3,22.4
Control,7,PDF1.2,1,21.41
Control,7,PDF1.2,2,21.24
Control,7,PDF1.2,3,21.32
P. fluorescens,1,ICS1,1,24.03
P. fluorescens,1,ICS1,2,23.82
P. fluorescens,1,ICS1,3,23.91
P. fluorescens,1,OPR3,1,35.23
P. fluorescens,1,OPR3,2,35.63
P. fluorescens,1,OPR3,3,34.22
P. fluorescens,1,RdR1,1,23.2
P. fluorescens,1,RdR1,2,23.26
P. fluorescens,1,RdR1,3,23.21
P. fluorescens,1,Thi2.1,1,34.4
P. fluorescens,1,Thi2.1,2,33.73
P. fluorescens,1,Thi2.1,3,33.67
P. fluorescens,4,ICS1,1,23.33
P. fluorescens,4,ICS1,2,23.28
P. fluorescens,4,ICS1,3,23.14
P. fluorescens,4,OPR3,1,34.51
P. fluorescens,4,OPR3,2,33.51
P. fluorescens,4,OPR3,3,34.43
P. fluorescens,4,RdR1,1,23.75
P. fluorescens,4,RdR1,2,23.55
P. fluorescens,4,RdR1,3,23.62
P. fluorescens,4,Thi2.1,1,35.76
P. fluorescens,4,Thi2.1,2,34.41
P. fluorescens,4,Thi2.1,3,33.17
P. fluorescens,7,ICS1,1,23
P. fluorescens,7,ICS1,2,22.89
P. fluorescens,7,ICS1,3,22.77
P. fluorescens,7,OPR3,1,33.47
P. fluorescens,7,OPR3,2,35.28
P. fluorescens,7,OPR3,3,34.58
P. fluorescens,7,RdR1,1,23.22
P. fluorescens,7,RdR1,2,23.19
P. fluorescens,7,RdR1,3,23.19
P. fluorescens,7,Thi2.1,1,34.24
P. fluorescens,7,Thi2.1,2,35.02
P. fluorescens,7,Thi2.1,3,34.12
S. marcescens,1,ICS1,1,23.41
S. marcescens,1,ICS1,2,23.52
S. marcescens,1,ICS1,3,23.35
S. marcescens,1,OPR3,1,34.79
S. marcescens,1,OPR3,2,37.2
S. marcescens,1,OPR3,3,34.26
S. marcescens,1,RdR1,1,23.07
S. marcescens,1,RdR1,2,23.08
S. marcescens,1,RdR1,3,23.03
S. marcescens,1,Thi2.1,1,33.77
S. marcescens,1,Thi2.1,2,33.77
S. marcescens,1,Thi2.1,3,34.97
S. marcescens,4,ICS1,1,22.7
S. marcescens,4,ICS1,2,22.74
S. marcescens,4,ICS1,3,22.62
S. marcescens,4,OPR3,1,35.51
S. marcescens,4,OPR3,2,34.47
S. marcescens,4,OPR3,3,33.83
S. marcescens,4,RdR1,1,23.45
S. marcescens,4,RdR1,2,23.45
S. marcescens,4,RdR1,3,23.51
S. marcescens,4,Thi2.1,1,35.76
S. marcescens,4,Thi2.1,2,35.01
S. marcescens,4,Thi2.1,3,35.85
S. marcescens,7,ICS1,1,23.14
S. marcescens,7,ICS1,2,23.15
S. marcescens,7,ICS1,3,23.22
S. marcescens,7,OPR3,1,35.02
S. marcescens,7,OPR3,2,36.02
S. marcescens,7,OPR3,3,35.08
S. marcescens,7,RdR1,1,23.91
S. marcescens,7,RdR1,2,23.97
S. marcescens,7,RdR1,3,23.93
S. marcescens,7,Thi2.1,1,34.34
S. marcescens,7,Thi2.1,2,36.61
S. marcescens,7,Thi2.1,3,36.59
B. subtilis,1,ICS1,1,23.18
B. subtilis,1,ICS1,2,23.24
B. subtilis,1,ICS1,3,23.14
B. subtilis,1,OPR3,1,35.78
B. subtilis,1,OPR3,2,35.41
B. subtilis,1,OPR3,3,33.91
B. subtilis,1,RdR1,1,23.42
B. subtilis,1,RdR1,2,23.4
B. subtilis,1,RdR1,3,23.55
B. subtilis,1,Thi2.1,1,36.75
B. subtilis,1,Thi2.1,2,36.89
B. subtilis,1,Thi2.1,3,36.75
B. subtilis,4,ICS1,1,23.18
B. subtilis,4,ICS1,2,23.27
B. subtilis,4,ICS1,3,23.24
B. subtilis,4,OPR3,1,35.18
B. subtilis,4,OPR3,2,35.88
B. subtilis,4,OPR3,3,35
B. subtilis,4,RdR1,1,23.66
B. subtilis,4,RdR1,2,23.58
B. subtilis,4,RdR1,3,23.41
B. subtilis,4,Thi2.1,1,36.19
B. subtilis,4,Thi2.1,2,36.16
B. subtilis,4,Thi2.1,3,35.14
B. subtilis,7,ICS1,1,21.74
B. subtilis,7,ICS1,2,21.76
B. subtilis,7,ICS1,3,21.84
B. subtilis,7,OPR3,1,34.9
B. subtilis,7,OPR3,2,33.2
B. subtilis,7,OPR3,3,35
B. subtilis,7,RdR1,1,23.55
B. subtilis,7,RdR1,2,23.49
B. subtilis,7,RdR1,3,23.43
B. subtilis,7,Thi2.1,1,37.34
B. subtilis,7,Thi2.1,2,35.81
B. subtilis,7,Thi2.1,3,35.81
Control,1,ICS1,1,23.12
Control,1,ICS1,2,23.04
Control,1,ICS1,3,23.03
Control,1,OPR3,1,35.16
Control,1,OPR3,2,34.04
Control,1,OPR3,3,34.84
Control,1,RdR1,1,23.56
Control,1,RdR1,2,23.54
Control,1,RdR1,3,23.46
Control,1,Thi2.1,1,37.41
Control,1,Thi2.1,2,34.42
Control,1,Thi2.1,3,35.97
Control,4,ICS1,1,22.74
Control,4,ICS1,2,22.74
Control,4,ICS1,3,22.62
Control,4,OPR3,1,34.86
