PGPR,Dpi,Gene,Rep,Cq
P. fluorescens,1,PR1,1,27.09
P. fluorescens,1,PR1,2,27.08
P. fluorescens,1,PR1,3,27.08
P. fluorescens,1,PR4,1,28.08
P. fluorescens,1,PR4,2,27.82
P. fluorescens,1,PR4,3,28.13
P. fluorescens,1,PR5,1,27.06
P. fluorescens,1,PR5,2,27.04
P. fluorescens,1,PR5,3,26.91
P. fluorescens,1,UBQ,1,24.55
P. fluorescens,1,UBQ,2,24.56
P. fluorescens,1,UBQ,3,24.49
P. fluorescens,4,PR1,1,25.88
P. fluorescens,4,PR1,2,25.88
P. fluorescens,4,PR1,3,25.95
P. fluorescens,4,PR4,1,27.27
P. fluorescens,4,PR4,2,26.85
P. fluorescens,4,PR4,3,27.59
P. fluorescens,4,PR5,1,26.14
P. fluorescens,4,PR5,2,25.95
P. fluorescens,4,PR5,3,26.05
P. fluorescens,4,UBQ,1,24.03
P. fluorescens,4,UBQ,2,24.1
P. fluorescens,4,UBQ,3,24.14
P. fluorescens,7,PR1,1,26.18
P. fluorescens,7,PR1,2,26.32
P. fluorescens,7,PR1,3,26.22
P. fluorescens,7,PR4,1,28.08
P. fluorescens,7,PR4,2,27.87
P. fluorescens,7,PR4,3,28.08
P. fluorescens,7,PR5,1,26.25
P. fluorescens,7,PR5,2,26.15
P. fluorescens,7,PR5,3,26.28
P. fluorescens,7,UBQ,1,23.93
P. fluorescens,7,UBQ,2,23.98
P. fluorescens,7,UBQ,3,24.06
S. marcescens,1,PR1,1,25.01
S. marcescens,1,PR1,2,25.08
S. marcescens,1,PR1,3,24.76
S. marcescens,1,PR4,1,27.47
S. marcescens,1,PR4,2,26.5
S. marcescens,1,PR4,3,27.1
S. marcescens,1,PR5,1,25.63
S. marcescens,1,PR5,2,26.06
S. marcescens,1,PR5,3,25.73
S. marcescens,1,UBQ,1,24.09
S. marcescens,1,UBQ,2,24
S. marcescens,1,UBQ,3,24.01
S. marcescens,4,PR1,1,25.96
S. marcescens,4,PR1,2,26.13
S. marcescens,4,PR1,3,26.11
S. marcescens,4,PR4,1,30.23
S. marcescens,4,PR4,2,29.27
S. marcescens,4,PR4,3,28.27
S. marcescens,4,PR5,1,26.29
S. marcescens,4,PR5,2,26.39
S. marcescens,4,PR5,3,26.78
S. marcescens,4,UBQ,1,24.28
S. marcescens,4,UBQ,2,24.12
S. marcescens,4,UBQ,3,24.16
S. marcescens,7,PR1,1,25.34
S. marcescens,7,PR1,2,25.69
S. marcescens,7,PR1,3,25.55
S. marcescens,7,PR4,1,26.49
S. marcescens,7,PR4,2,26.46
S. marcescens,7,PR4,3,26.41
S. marcescens,7,PR5,1,19.39
S. marcescens,7,PR5,2,19.45
S. marcescens,7,PR5,3,19.34
S. marcescens,7,UBQ,1,23.25
S. marcescens,7,UBQ,2,23.35
S. marcescens,7,UBQ,3,23.3
B. subtilis,1,PR1,1,25.76
B. subtilis,1,PR1,2,25.86
B. subtilis,1,PR1,3,25.67
B. subtilis,1,PR4,1,26.59
B. subtilis,1,PR4,2,26.96
B. subtilis,1,PR4,3,26.74
B. subtilis,1,PR5,1,23.03
B. subtilis,1,PR5,2,22.89
B. subtilis,1,PR5,3,23.05
B. subtilis,1,UBQ,1,23.67
B. subtilis,1,UBQ,2,23.87
B. subtilis,1,UBQ,3,23.72
B. subtilis,4,PR1,1,25.66
B. subtilis,4,PR1,2,25.59
B. subtilis,4,PR1,3,25.53
B. subtilis,4,PR4,1,27.04
B. subtilis,4,PR4,2,26.76
B. subtilis,4,PR4,3,26.98
B. subtilis,4,PR5,1,20.77
B. subtilis,4,PR5,2,20.61
B. subtilis,4,PR5,3,20.48
B. subtilis,4,UBQ,1,23.54
B. subtilis,4,UBQ,2,23.52
B. subtilis,4,UBQ,3,23.8
B. subtilis,7,PR1,1,25.31
B. subtilis,7,PR1,2,25.05
B. subtilis,7,PR1,3,25.08
B. subtilis,7,PR4,1,26.91
B. subtilis,7,PR4,2,27.23
B. subtilis,7,PR4,3,27.04
B. subtilis,7,PR5,1,21.58
B. subtilis,7,PR5,2,21.7
B. subtilis,7,PR5,3,21.65
B. subtilis,7,UBQ,1,23.64
B. subtilis,7,UBQ,2,23.74
B. subtilis,7,UBQ,3,23.69
Control,1,PR1,1,26.05
Control,1,PR1,2,25.84
Control,1,PR1,3,25.79
Control,1,PR4,1,27.22
Control,1,PR4,2,27.8
Control,1,PR4,3,27.2
Control,1,PR5,1,25.19
Control,1,PR5,2,25.1
Control,1,PR5,3,24.89
Control,1,UBQ,1,24.85
Control,1,UBQ,2,24.89
Control,1,UBQ,3,24.95
Control,4,PR1,1,25.22
Control,4,PR1,2,25.42
Control,4,PR1,3,25.2
Control,4,PR4,1,26.06
Control,4,PR4,2,26.27
Control,4,PR4,3,26.07
Control,4,PR5,1,22.31
Control,4,PR5,2,22.24
Control,4,PR5,3,22.26
Control,4,UBQ,1,24.13
Control,4,UBQ,2,24.03
Control,4,UBQ,3,23.94
Control,7,PR1,1,25.65
Control,7,PR1,2,26.01
Control,7,PR1,3,25.59
Control,7,PR4,1,26.61
Control,7,PR4,2,26.56
Control,7,PR4,3,26.33
Control,7,PR5,1,20.7
Control,7,PR5,2,20.76
Control,7,PR5,3,20.64
Control,7,UBQ,1,23.71
Control,7,UBQ,2,23.51
Control,7,UBQ,3,23.6
P. fluorescens,1,NPR1,1,23.96
