PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,1,PR1,23.55
P. fluorescens,1,2,PR1,23.63
P. fluorescens,1,3,PR1,23.75
S. marcescens,1,1,PR1,24.47
S. marcescens,1,2,PR1,24.57
S. marcescens,1,3,PR1,24.61
B. subtilis,1,1,PR1,22.61
B. subtilis,1,2,PR1,22.55
B. subtilis,1,3,PR1,22.44
Control,1,1,PR1,24.10
Control,1,2,PR1,23.48
Control,1,3,PR1,23.51
P. fluorescens,4,1,PR1,21.18
P. fluorescens,4,2,PR1,21.16
P. fluorescens,4,3,PR1,21.25
S. marcescens,4,1,PR1,21.86
S. marcescens,4,2,PR1,22.01
S. marcescens,4,3,PR1,21.93
B. subtilis,4,1,PR1,22.23
B. subtilis,4,2,PR1,22.38
B. subtilis,4,3,PR1,22.20
Control,4,1,PR1,24.63
Control,4,2,PR1,24.62
Control,4,3,PR1,24.81
P. fluorescens,7,1,PR1,26.05
P. fluorescens,7,2,PR1,26.09
P. fluorescens,7,3,PR1,25.94
S. marcescens,7,1,PR1,15.75
S. marcescens,7,2,PR1,15.44
S. marcescens,7,3,PR1,15.51
B. subtilis,7,1,PR1,26.42
B. subtilis,7,2,PR1,26.58
B. subtilis,7,3,PR1,26.43
Control,7,1,PR1,18.35
Control,7,2,PR1,19.31
Control,7,3,PR1,18.38
P. fluorescens,10,1,PR1,27.05
P. fluorescens,10,2,PR1,26.94
P. fluorescens,10,3,PR1,26.70
S. marcescens,10,1,PR1,17.89
S. marcescens,10,2,PR1,17.70
S. marcescens,10,3,PR1,17.66
B. subtilis,10,1,PR1,17.13
B. subtilis,10,2,PR1,17.05
B. subtilis,10,3,PR1,17.15
Control,10,1,PR1,21.03
Control,10,2,PR1,21.63
Control,10,3,PR1,22.00
P. fluorescens,1,1,NPR1,22.48
P. fluorescens,1,2,NPR1,22.51
P. fluorescens,1,3,NPR1,22.62
S. marcescens,1,1,NPR1,22.38
S. marcescens,1,2,NPR1,22.46
S. marcescens,1,3,NPR1,22.61
B. subtilis,1,1,NPR1,22.00
B. subtilis,1,2,NPR1,21.97
B. subtilis,1,3,NPR1,22.10
Control,1,1,NPR1,21.69
Control,1,2,NPR1,21.77
Control,1,3,NPR1,21.90
P. fluorescens,4,1,NPR1,22.81
P. fluorescens,4,2,NPR1,22.71
P. fluorescens,4,3,NPR1,22.86
S. marcescens,4,1,NPR1,22.88
S. marcescens,4,2,NPR1,22.71
S. marcescens,4,3,NPR1,22.86
B. subtilis,4,1,NPR1,22.90
B. subtilis,4,2,NPR1,23.03
B. subtilis,4,3,NPR1,22.86
Control,4,1,NPR1,22.47
Control,4,2,NPR1,22.43
Control,4,3,NPR1,22.52
P. fluorescens,7,1,NPR1,22.54
P. fluorescens,7,2,NPR1,22.56
P. fluorescens,7,3,NPR1,22.63
S. marcescens,7,1,NPR1,21.65
S. marcescens,7,2,NPR1,21.74
