PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,1,PR1,28.67
P. fluorescens,1,2,PR1,28.20
P. fluorescens,1,3,PR1,28.39
P. fluorescens,1,1,PR4,29.02
P. fluorescens,1,2,PR4,30.33
P. fluorescens,1,3,PR4,28.59
P. fluorescens,1,1,PR5,29.27
P. fluorescens,1,2,PR5,28.67
P. fluorescens,1,3,PR5,29.43
P. fluorescens,1,1,UBQ,20.81
P. fluorescens,1,2,UBQ,19.94
P. fluorescens,1,3,UBQ,19.97
P. fluorescens,4,1,PR1,27.69
P. fluorescens,4,2,PR1,27.11
P. fluorescens,4,3,PR1,27.00
P. fluorescens,4,1,PR4,29.09
P. fluorescens,4,2,PR4,29.20
P. fluorescens,4,3,PR4,29.56
P. fluorescens,4,1,PR5,28.47
P. fluorescens,4,2,PR5,28.57
P. fluorescens,4,3,PR5,28.55
P. fluorescens,4,1,UBQ,19.98
P. fluorescens,4,2,UBQ,20.17
P. fluorescens,4,3,UBQ,20.47
P. fluorescens,7,1,PR1,27.36
P. fluorescens,7,2,PR1,27.70
P. fluorescens,7,3,PR1,27.92
P. fluorescens,7,1,PR4,29.12
P. fluorescens,7,2,PR4,29.40
P. fluorescens,7,3,PR4,28.46
P. fluorescens,7,1,PR5,29.47
P. fluorescens,7,2,PR5,28.07
P. fluorescens,7,3,PR5,29.03
P. fluorescens,7,1,UBQ,21.08
P. fluorescens,7,2,UBQ,22.02
P. fluorescens,7,3,UBQ,20.95
S. marcescens,1,1,PR1,27.91
S. marcescens,1,2,PR1,28.70
S. marcescens,1,3,PR1,28.40
S. marcescens,1,1,PR4,29.41
S. marcescens,1,2,PR4,29.73
S. marcescens,1,3,PR4,30.11
S. marcescens,1,1,PR5,30.01
S. marcescens,1,2,PR5,29.81
S. marcescens,1,3,PR5,29.35
S. marcescens,1,1,UBQ,19.70
S. marcescens,1,2,UBQ,19.98
S. marcescens,1,3,UBQ,20.12
S. marcescens,4,1,PR1,27.60
S. marcescens,4,2,PR1,27.94
S. marcescens,4,3,PR1,27.14
S. marcescens,4,1,PR4,30.04
S. marcescens,4,2,PR4,29.39
S. marcescens,4,3,PR4,29.51
S. marcescens,4,1,PR5,28.57
S. marcescens,4,2,PR5,29.19
S. marcescens,4,3,PR5,29.42
S. marcescens,4,1,UBQ,20.89
S. marcescens,4,2,UBQ,20.66
S. marcescens,4,3,UBQ,20.34
S. marcescens,7,1,PR1,26.47
S. marcescens,7,2,PR1,26.09
S. marcescens,7,3,PR1,26.35
S. marcescens,7,1,PR4,27.63
S. marcescens,7,2,PR4,27.89
S. marcescens,7,3,PR4,27.73
S. marcescens,7,1,PR5,27.46
S. marcescens,7,2,PR5,27.53
S. marcescens,7,3,PR5,27.42
S. marcescens,7,1,UBQ,19.56
S. marcescens,7,2,UBQ,19.41
S. marcescens,7,3,UBQ,19.29
B. subtilis,1,1,PR1,27.80
B. subtilis,1,2,PR1,28.69
B. subtilis,1,3,PR1,27.31
B. subtilis,1,1,PR4,28.20
B. subtilis,1,2,PR4,29.43
B. subtilis,1,3,PR4,28.26
B. subtilis,1,1,PR5,29.02
B. subtilis,1,2,PR5,28.77
B. subtilis,1,3,PR5,28.90
B. subtilis,1,1,UBQ,19.61
B. subtilis,1,2,UBQ,19.65
B. subtilis,1,3,UBQ,19.35
B. subtilis,4,1,PR1,26.33
B. subtilis,4,2,PR1,26.49
B. subtilis,4,3,PR1,26.68
B. subtilis,4,1,PR4,28.48
B. subtilis,4,2,PR4,28.08
B. subtilis,4,3,PR4,27.41
B. subtilis,4,1,PR5,28.08
B. subtilis,4,2,PR5,27.96
B. subtilis,4,3,PR5,27.93
B. subtilis,4,1,UBQ,19.46
B. subtilis,4,2,UBQ,19.53
B. subtilis,4,3,UBQ,19.60
B. subtilis,7,1,PR1,26.24
B. subtilis,7,2,PR1,26.29
B. subtilis,7,3,PR1,25.92
B. subtilis,7,1,PR4,27.89
B. subtilis,7,2,PR4,28.35
B. subtilis,7,3,PR4,28.45
B. subtilis,7,1,PR5,27.96
B. subtilis,7,2,PR5,27.54
B. subtilis,7,3,PR5,27.42
B. subtilis,7,1,UBQ,18.95
B. subtilis,7,2,UBQ,19.44
B. subtilis,7,3,UBQ,19.45
Control,1,1,PR1,26.67
Control,1,2,PR1,26.21
Control,1,3,PR1,26.32
Control,1,1,PR4,28.22
Control,1,2,PR4,27.96
Control,1,3,PR4,28.04
Control,1,1,PR5,27.89
Control,1,2,PR5,27.72
Control,1,3,PR5,27.48
Control,1,1,UBQ,18.72
Control,1,2,UBQ,18.50
Control,1,3,UBQ,18.73
Control,4,1,PR1,24.97
Control,4,2,PR1,25.08
Control,4,3,PR1,24.91
Control,4,1,PR4,26.91
Control,4,2,PR4,26.86
Control,4,3,PR4,26.51
Control,4,1,PR5,23.08
Control,4,2,PR5,23.16
Control,4,3,PR5,23.10
Control,4,1,UBQ,18.50
Control,4,2,UBQ,18.41
Control,4,3,UBQ,18.50
Control,7,1,PR1,25.05
Control,7,2,PR1,25.40
Control,7,3,PR1,25.11
Control,7,1,PR4,26.48
Control,7,2,PR4,26.32
Control,7,3,PR4,26.28
Control,7,1,PR5,25.92
Control,7,2,PR5,25.99
Control,7,3,PR5,25.74
Control,7,1,UBQ,18.73
Control,7,2,UBQ,18.67
Control,7,3,UBQ,20.06
P. fluorescens,1,1,NPR1,26.41
P. fluorescens,1,2,NPR1,26.49
P. fluorescens,1,3,NPR1,26.38
P. fluorescens,1,1,EDS1,27.28
P. fluorescens,1,2,EDS1,27.18
P. fluorescens,1,3,EDS1,27.23
P. fluorescens,1,1,PAD4,27.41
P. fluorescens,1,2,PAD4,27.35
P. fluorescens,1,3,PAD4,27.44
P. fluorescens,1,1,PDF1.2,30.58
P. fluorescens,1,2,PDF1.2,30.36
P. fluorescens,1,3,PDF1.2,31.08
P. fluorescens,4,1,NPR1,25.94
P. fluorescens,4,2,NPR1,25.75
P. fluorescens,4,3,NPR1,25.52
P. fluorescens,4,1,EDS1,26.85
P. fluorescens,4,2,EDS1,26.75
P. fluorescens,4,3,EDS1,26.93
P. fluorescens,4,1,PAD4,27.50
P. fluorescens,4,2,PAD4,27.49
P. fluorescens,4,3,PAD4,27.82
P. fluorescens,4,1,PDF1.2,29.61
P. fluorescens,4,2,PDF1.2,29.35
P. fluorescens,4,3,PDF1.2,29.29
P. fluorescens,7,1,NPR1,25.01
P. fluorescens,7,2,NPR1,25.02
P. fluorescens,7,3,NPR1,24.76
P. fluorescens,7,1,EDS1,26.03
P. fluorescens,7,2,EDS1,25.99
P. fluorescens,7,3,EDS1,26.04
P. fluorescens,7,1,PAD4,26.59
P. fluorescens,7,2,PAD4,26.46
P. fluorescens,7,3,PAD4,26.76
P. fluorescens,7,1,PDF1.2,28.79
P. fluorescens,7,2,PDF1.2,28.75
P. fluorescens,7,3,PDF1.2,28.78
S. marcescens,1,1,NPR1,25.89
S. marcescens,1,2,NPR1,26.09
S. marcescens,1,3,NPR1,25.90
S. marcescens,1,1,EDS1,26.42
S. marcescens,1,2,EDS1,26.60
S. marcescens,1,3,EDS1,26.61
S. marcescens,1,1,PAD4,26.92
S. marcescens,1,2,PAD4,26.93
S. marcescens,1,3,PAD4,26.77
S. marcescens,1,1,PDF1.2,29.27
S. marcescens,1,2,PDF1.2,29.43
S. marcescens,1,3,PDF1.2,29.58
S. marcescens,4,1,NPR1,25.68
S. marcescens,4,2,NPR1,26.20
S. marcescens,4,3,NPR1,25.76
S. marcescens,4,1,EDS1,26.81
S. marcescens,4,2,EDS1,27.10
S. marcescens,4,3,EDS1,26.88
S. marcescens,4,1,PAD4,27.34
S. marcescens,4,2,PAD4,27.00
S. marcescens,4,3,PAD4,27.33
S. marcescens,4,1,PDF1.2,29.17
S. marcescens,4,2,PDF1.2,29.00
S. marcescens,4,3,PDF1.2,29.17
S. marcescens,7,1,NPR1,24.26
S. marcescens,7,2,NPR1,24.15
S. marcescens,7,3,NPR1,24.04
S. marcescens,7,1,EDS1,25.40
S. marcescens,7,2,EDS1,25.16
S. marcescens,7,3,EDS1,25.22
S. marcescens,7,1,PAD4,25.82
S. marcescens,7,2,PAD4,25.89
S. marcescens,7,3,PAD4,26.03
S. marcescens,7,1,PDF1.2,28.72
S. marcescens,7,2,PDF1.2,28.35
S. marcescens,7,3,PDF1.2,28.25
B. subtilis,1,1,NPR1,25.53
B. subtilis,1,2,NPR1,25.34
B. subtilis,1,3,NPR1,25.41
B. subtilis,1,1,EDS1,25.97
B. subtilis,1,2,EDS1,25.84
B. subtilis,1,3,EDS1,26.21
B. subtilis,1,1,PAD4,26.07
B. subtilis,1,2,PAD4,26.01
B. subtilis,1,3,PAD4,26.39
B. subtilis,1,1,PDF1.2,29.73
B. subtilis,1,2,PDF1.2,29.41
B. subtilis,1,3,PDF1.2,29.55
B. subtilis,4,1,NPR1,25.95
B. subtilis,4,2,NPR1,26.09
B. subtilis,4,3,NPR1,26.03
B. subtilis,4,1,EDS1,27.21
B. subtilis,4,2,EDS1,27.10
B. subtilis,4,3,EDS1,27.08
B. subtilis,4,1,PAD4,27.11
B. subtilis,4,2,PAD4,27.34
B. subtilis,4,3,PAD4,27.43
B. subtilis,4,1,PDF1.2,30.16
B. subtilis,4,2,PDF1.2,30.04
B. subtilis,4,3,PDF1.2,30.05
B. subtilis,7,1,NPR1,24.24
B. subtilis,7,2,NPR1,24.27
B. subtilis,7,3,NPR1,24.44
B. subtilis,7,1,EDS1,25.01
B. subtilis,7,2,EDS1,25.12
B. subtilis,7,3,EDS1,25.09
B. subtilis,7,1,PAD4,25.26
B. subtilis,7,2,PAD4,25.37
B. subtilis,7,3,PAD4,25.47
B. subtilis,7,1,PDF1.2,28.50
B. subtilis,7,2,PDF1.2,28.26
B. subtilis,7,3,PDF1.2,28.69
Control,1,1,NPR1,25.25
Control,1,2,NPR1,25.26
Control,1,3,NPR1,25.24
Control,1,1,EDS1,25.31
Control,1,2,EDS1,25.31
Control,1,3,EDS1,25.32
Control,1,1,PAD4,24.93
Control,1,2,PAD4,24.96
Control,1,3,PAD4,25.24
Control,1,1,PDF1.2,29.15
Control,1,2,PDF1.2,29.09
Control,1,3,PDF1.2,29.24
Control,4,1,NPR1,23.44
Control,4,2,NPR1,23.50
Control,4,3,NPR1,23.77
Control,4,1,EDS1,22.75
Control,4,2,EDS1,22.92
Control,4,3,EDS1,22.84
Control,4,1,PAD4,24.56
Control,4,2,PAD4,24.59
Control,4,3,PAD4,24.54
Control,4,1,PDF1.2,28.89
Control,4,2,PDF1.2,28.87
Control,4,3,PDF1.2,29.43
Control,7,1,NPR1,24.15
Control,7,2,NPR1,24.35
Control,7,3,NPR1,24.42
Control,7,1,EDS1,24.56
Control,7,2,EDS1,24.52
Control,7,3,EDS1,24.46
Control,7,1,PAD4,24.59
Control,7,2,PAD4,24.66
Control,7,3,PAD4,24.79
Control,7,1,PDF1.2,28.10
Control,7,2,PDF1.2,27.99
Control,7,3,PDF1.2,28.49
P. fluorescens,1,1,ICS1,26.71
P. fluorescens,1,2,ICS1,26.77
P. fluorescens,1,3,ICS1,26.73
P. fluorescens,1,1,OPR3,28.33
P. fluorescens,1,2,OPR3,28.64
P. fluorescens,1,3,OPR3,28.64
P. fluorescens,1,1,RdR1,29.37
P. fluorescens,1,2,RdR1,29.37
P. fluorescens,1,3,RdR1,29.43
P. fluorescens,4,1,ICS1,26.09
P. fluorescens,4,2,ICS1,26.01
P. fluorescens,4,3,ICS1,26.14
P. fluorescens,4,1,OPR3,28.20
P. fluorescens,4,2,OPR3,28.01
P. fluorescens,4,3,OPR3,28.11
P. fluorescens,4,1,RdR1,29.23
P. fluorescens,4,2,RdR1,29.23
P. fluorescens,4,3,RdR1,29.31
P. fluorescens,7,1,ICS1,24.92
P. fluorescens,7,2,ICS1,24.77
P. fluorescens,7,3,ICS1,24.86
P. fluorescens,7,1,OPR3,27.06
P. fluorescens,7,2,OPR3,27.14
P. fluorescens,7,3,OPR3,27.15
P. fluorescens,7,1,RdR1,27.91
P. fluorescens,7,2,RdR1,27.85
P. fluorescens,7,3,RdR1,27.69
S. marcescens,1,1,ICS1,26.39
S. marcescens,1,2,ICS1,26.56
S. marcescens,1,3,ICS1,26.45
S. marcescens,1,1,OPR3,27.62
S. marcescens,1,2,OPR3,27.73
S. marcescens,1,3,OPR3,27.78
S. marcescens,1,1,RdR1,28.79
S. marcescens,1,2,RdR1,29.20
S. marcescens,1,3,RdR1,29.06
S. marcescens,4,1,ICS1,26.05
S. marcescens,4,2,ICS1,25.93
S. marcescens,4,3,ICS1,25.88
S. marcescens,4,1,OPR3,27.52
S. marcescens,4,2,OPR3,27.71
S. marcescens,4,3,OPR3,27.89
S. marcescens,4,1,RdR1,29.01
S. marcescens,4,2,RdR1,29.06
S. marcescens,4,3,RdR1,28.85
S. marcescens,7,1,ICS1,24.19
S. marcescens,7,2,ICS1,24.19
S. marcescens,7,3,ICS1,24.31
S. marcescens,7,1,OPR3,26.14
S. marcescens,7,2,OPR3,26.30
S. marcescens,7,3,OPR3,26.33
S. marcescens,7,1,RdR1,27.11
S. marcescens,7,2,RdR1,27.29
S. marcescens,7,3,RdR1,27.06
B. subtilis,1,1,ICS1,26.23
B. subtilis,1,2,ICS1,26.23
B. subtilis,1,3,ICS1,26.20
B. subtilis,1,1,OPR3,27.13
B. subtilis,1,2,OPR3,27.13
B. subtilis,1,3,OPR3,27.35
B. subtilis,1,1,RdR1,28.66
B. subtilis,1,2,RdR1,28.61
B. subtilis,1,3,RdR1,28.61
B. subtilis,4,1,ICS1,26.07
B. subtilis,4,2,ICS1,26.09
B. subtilis,4,3,ICS1,25.97
B. subtilis,4,1,OPR3,27.85
B. subtilis,4,2,OPR3,28.08
B. subtilis,4,3,OPR3,27.97
B. subtilis,4,1,RdR1,29.10
B. subtilis,4,2,RdR1,28.84
B. subtilis,4,3,RdR1,28.92
B. subtilis,7,1,ICS1,24.28
B. subtilis,7,2,ICS1,24.06
B. subtilis,7,3,ICS1,24.01
B. subtilis,7,1,OPR3,26.11
B. subtilis,7,2,OPR3,25.89
B. subtilis,7,3,OPR3,26.06
B. subtilis,7,1,RdR1,26.61
B. subtilis,7,2,RdR1,26.67
B. subtilis,7,3,RdR1,26.78
Control,1,1,ICS1,26.36
Control,1,2,ICS1,26.13
Control,1,3,ICS1,26.12
Control,1,1,OPR3,26.27
Control,1,2,OPR3,26.52
Control,1,3,OPR3,26.37
Control,1,1,RdR1,27.15
Control,1,2,RdR1,27.13
Control,1,3,RdR1,26.96
Control,4,1,ICS1,25.54
Control,4,2,ICS1,25.25
Control,4,3,ICS1,25.25
Control,4,1,OPR3,26.10
Control,4,2,OPR3,26.20
Control,4,3,OPR3,26.05
Control,4,1,RdR1,25.53
Control,4,2,RdR1,25.52
Control,4,3,RdR1,25.44
Control,7,1,ICS1,24.12
Control,7,2,ICS1,24.14
Control,7,3,ICS1,24.12
Control,7,1,OPR3,25.19
Control,7,2,OPR3,25.13
Control,7,3,OPR3,25.25
Control,7,1,RdR1,25.87
Control,7,2,RdR1,26.02
Control,7,3,RdR1,25.74
