PGPR,Gene,Dpi,Cq,Rep
P. fluorescens,PR1,1,27.33,1
P. fluorescens,PR1,1,27.36,2
P. fluorescens,PR1,1,27.25,3
P. fluorescens,PR4,1,28.62,1
P. fluorescens,PR4,1,28.64,2
P. fluorescens,PR4,1,28.73,3
P. fluorescens,PR5,1,27.29,1
P. fluorescens,PR5,1,27.48,2
P. fluorescens,PR5,1,27.45,3
P. fluorescens,UBQ,1,18.83,1
P. fluorescens,UBQ,1,18.84,2
P. fluorescens,UBQ,1,18.94,3
P. fluorescens,PR1,4,26.27,1
P. fluorescens,PR1,4,26.20,2
P. fluorescens,PR1,4,25.99,3
P. fluorescens,PR4,4,27.30,1
P. fluorescens,PR4,4,27.27,2
P. fluorescens,PR4,4,27.19,3
P. fluorescens,PR5,4,27.13,1
P. fluorescens,PR5,4,27.09,2
P. fluorescens,PR5,4,27.15,3
P. fluorescens,UBQ,4,19.29,1
P. fluorescens,UBQ,4,19.42,2
P. fluorescens,UBQ,4,19.49,3
P. fluorescens,PR1,7,25.74,1
P. fluorescens,PR1,7,25.74,2
P. fluorescens,PR1,7,25.77,3
P. fluorescens,PR4,7,27.14,1
P. fluorescens,PR4,7,26.86,2
P. fluorescens,PR4,7,26.96,3
P. fluorescens,PR5,7,24.75,1
P. fluorescens,PR5,7,24.75,2
P. fluorescens,PR5,7,24.59,3
P. fluorescens,UBQ,7,18.72,1
P. fluorescens,UBQ,7,18.83,2
P. fluorescens,UBQ,7,18.75,3
S. marcescens,PR1,1,27.03,1
S. marcescens,PR1,1,26.94,2
S. marcescens,PR1,1,27.04,3
S. marcescens,PR4,1,28.41,1
S. marcescens,PR4,1,28.23,2
S. marcescens,PR4,1,28.23,3
S. marcescens,PR5,1,27.31,1
S. marcescens,PR5,1,27.38,2
S. marcescens,PR5,1,27.35,3
S. marcescens,UBQ,1,19.22,1
S. marcescens,UBQ,1,19.19,2
S. marcescens,UBQ,1,19.17,3
S. marcescens,PR1,4,25.69,1
S. marcescens,PR1,4,25.78,2
S. marcescens,PR1,4,25.94,3
S. marcescens,PR4,4,27.13,1
S. marcescens,PR4,4,27.11,2
S. marcescens,PR4,4,27.31,3
S. marcescens,PR5,4,26.84,1
S. marcescens,PR5,4,26.82,2
S. marcescens,PR5,4,27.00,3
S. marcescens,UBQ,4,19.02,1
S. marcescens,UBQ,4,18.78,2
S. marcescens,UBQ,4,18.75,3
S. marcescens,PR1,7,26.53,1
S. marcescens,PR1,7,26.67,2
S. marcescens,PR1,7,26.69,3
S. marcescens,PR4,7,27.74,1
S. marcescens,PR4,7,27.53,2
S. marcescens,PR4,7,27.51,3
S. marcescens,PR5,7,26.69,1
S. marcescens,PR5,7,26.62,2
S. marcescens,PR5,7,26.63,3
S. marcescens,UBQ,7,19.20,1
S. marcescens,UBQ,7,19.03,2
S. marcescens,UBQ,7,19.11,3
B. subtilis,PR1,1,26.46,1
B. subtilis,PR1,1,26.53,2
B. subtilis,PR1,1,26.47,3
B. subtilis,PR4,1,28.00,1
B. subtilis,PR4,1,28.11,2
B. subtilis,PR4,1,27.78,3
B. subtilis,PR5,1,27.41,1
B. subtilis,PR5,1,27.44,2
B. subtilis,PR5,1,27.24,3
B. subtilis,UBQ,1,18.94,1
B. subtilis,UBQ,1,19.01,2
B. subtilis,UBQ,1,19.03,3
B. subtilis,PR1,4,26.03,1
B. subtilis,PR1,4,26.02,2
B. subtilis,PR1,4,26.00,3
B. subtilis,PR4,4,27.31,1
B. subtilis,PR4,4,27.29,2
B. subtilis,PR4,4,27.34,3
B. subtilis,PR5,4,27.28,1
B. subtilis,PR5,4,27.32,2
B. subtilis,PR5,4,27.22,3
B. subtilis,UBQ,4,18.86,1
B. subtilis,UBQ,4,18.84,2
B. subtilis,UBQ,4,18.81,3
Control,PR1,1,26.10,1
Control,PR1,1,26.01,2
Control,PR1,1,25.94,3
Control,PR4,1,27.43,1
Control,PR4,1,27.22,2
Control,PR4,1,27.19,3
Control,PR5,1,27.08,1
Control,PR5,1,27.21,2
Control,PR5,1,27.34,3
Control,UBQ,1,18.63,1
Control,UBQ,1,18.89,2
Control,UBQ,1,18.82,3
Control,PR1,4,25.52,1
Control,PR1,4,25.56,2
Control,PR1,4,26.19,3
Control,PR4,4,27.46,1
Control,PR4,4,27.38,2
Control,PR4,4,27.18,3
Control,PR5,4,26.92,1
Control,PR5,4,27.13,2
Control,PR5,4,26.75,3
Control,UBQ,4,18.85,1
Control,UBQ,4,19.10,2
Control,UBQ,4,18.92,3
Control,PR1,7,25.66,1
Control,PR1,7,25.83,2
Control,PR1,7,25.73,3
Control,PR4,7,26.97,1
Control,PR4,7,27.05,2
Control,PR4,7,26.94,3
Control,PR5,7,25.87,1
