Treatment,Dpi,Rep,Cq
P. fluorescens,IL-1,1,20.15
P. fluorescens,IL-1,2,20.09
P. fluorescens,IL-1,3,20.13
S. marcescens,IL-1,1,20.37
S. marcescens,IL-1,2,20.65
S. marcescens,IL-1,3,20.05
B. subtilis,IL-1,1,19.51
B. subtilis,IL-1,2,19.62
B. subtilis,IL-1,3,19.6
P. fluorescens,IL-4,1,15.97
P. fluorescens,IL-4,2,15.98
P. fluorescens,IL-4,3,16.16
S. marcescens,IL-4,1,23.44
S. marcescens,IL-4,2,23.07
S. marcescens,IL-4,3,22.93
B. subtilis,IL-4,1,13.52
B. subtilis,IL-4,2,13.72
B. subtilis,IL-4,3,13.82
P. fluorescens,IL-7,1,16.21
P. fluorescens,IL-7,2,16.3
P. fluorescens,IL-7,3,16.45
S. marcescens,IL-7,1,17.44
S. marcescens,IL-7,2,17.44
S. marcescens,IL-7,3,17.37
B. subtilis,IL-7,1,11.68
B. subtilis,IL-7,2,12.03
B. subtilis,IL-7,3,12.14
P. fluorescens,IL-10,1,13.71
P. fluorescens,IL-10,2,13.68
P. fluorescens,IL-10,3,13.43
S. marcescens,IL-10,1,13.13
S. marcescens,IL-10,2,13.18
S. marcescens,IL-10,3,13.32
B. subtilis,IL-10,1,11.2
B. subtilis,IL-10,2,11.32
B. subtilis,IL-10,3,11.1
P. fluorescens,SL-7,1,26.17
P. fluorescens,SL-7,2,26.1
P. fluorescens,SL-7,3,26.03
S. marcescens,SL-7,1,19.39
S. marcescens,SL-7,2,19.43
S. marcescens,SL-7,3,19.65
B. subtilis,SL-7,1,19.06
B. subtilis,SL-7,2,19.17
B. subtilis,SL-7,3,19.27
P. fluorescens,SL-10,1,26.21
P. fluorescens,SL-10,2,26.11
P. fluorescens,SL-10,3,26.06
S. marcescens,SL-10,1,15.08
S. marcescens,SL-10,2,14.45
S. marcescens,SL-10,3,14.57
B. subtilis,SL-10,1,11.63
B. subtilis,SL-10,2,11.7
B. subtilis,SL-10,3,11.05
Control,IL-1,1,17.19
Control,IL-1,2,17.48
Control,IL-1,3,17.24
Control,IL-4,1,13.56
Control,IL-4,2,13.37
Control,IL-4,3,13.37
Control,IL-7,1,12.34
Control,IL-7,2,12.03
Control,IL-7,3,12.46
Control,IL-10,1,12.47
Control,IL-10,2,12.22
Control,IL-10,3,12.53
Control,SL-7,1,14.15
Control,SL-7,2,14.24
Control,SL-7,3,14.26
Control,SL-10,1,11.04
Control,SL-10,2,11.42
Control,SL-10,3,11.91
P. fluorescens,SL-14,1,26.92
P. fluorescens,SL-14,2,26.14
P. fluorescens,SL-14,3,26.58
S. marcescens,SL-14,1,26.42
S. marcescens,SL-14,2,25.24
S. marcescens,SL-14,3,25.26
B. subtilis,SL-14,1,12.61
B. subtilis,SL-14,2,12.07
B. subtilis,SL-14,3,12.38
Control,SL-14,1,12.31
Control,SL-14,2,12.17
Control,SL-14,3,12.15
