Treatment,Rep,Dpi,Cq
P. fluorescens,1,IL-1,22.64
P. fluorescens,2,IL-1,22.68
P. fluorescens,3,IL-1,22.82
S. marcescens,1,IL-1,22.27
S. marcescens,2,IL-1,22.26
S. marcescens,3,IL-1,22.43
B. subtilis,1,IL-1,20.8
B. subtilis,2,IL-1,21.02
B. subtilis,3,IL-1,20.7
P. fluorescens,1,IL-4,27.51
P. fluorescens,2,IL-4,26.86
P. fluorescens,3,IL-4,27.62
S. marcescens,1,IL-4,23.18
S. marcescens,2,IL-4,23.19
S. marcescens,3,IL-4,23.23
B. subtilis,1,IL-4,22.38
B. subtilis,2,IL-4,22.07
B. subtilis,3,IL-4,22.23
P. fluorescens,1,IL-7,23.97
P. fluorescens,2,IL-7,24.02
P. fluorescens,3,IL-7,24.35
S. marcescens,1,IL-7,23.46
S. marcescens,2,IL-7,23.67
S. marcescens,3,IL-7,23.67
B. subtilis,1,IL-7,24.62
B. subtilis,2,IL-7,24.75
B. subtilis,3,IL-7,24.8
P. fluorescens,1,IL-10,28.25
P. fluorescens,2,IL-10,28.14
P. fluorescens,3,IL-10,28.23
S. marcescens,1,IL-10,29.42
S. marcescens,2,IL-10,30.02
S. marcescens,3,IL-10,29.96
B. subtilis,1,IL-10,24.91
B. subtilis,2,IL-10,25.14
B. subtilis,3,IL-10,24.78
P. fluorescens,1,SL-7,30.79
P. fluorescens,2,SL-7,30.44
P. fluorescens,3,SL-7,30.13
S. marcescens,1,SL-7,31.94
S. marcescens,2,SL-7,30.82
S. marcescens,3,SL-7,31.23
B. subtilis,1,SL-7,29.76
B. subtilis,2,SL-7,29.43
B. subtilis,3,SL-7,29.32
P. fluorescens,1,SL-10,25.15
P. fluorescens,2,SL-10,25.31
P. fluorescens,3,SL-10,25.38
S. marcescens,1,SL-10,30.5
S. marcescens,2,SL-10,30.35
S. marcescens,3,SL-10,29.93
B. subtilis,1,SL-10,30.48
B. subtilis,2,SL-10,30.16
B. subtilis,3,SL-10,29.01
Control,1,IL-1,19.98
Control,2,IL-1,20.09
Control,3,IL-1,20.13
Control,1,IL-4,17.95
Control,2,IL-4,18.04
Control,3,IL-4,18.33
Control,1,IL-7,16.36
Control,2,IL-7,16.42
Control,3,IL-7,16.21
Control,1,IL-10,12.06
Control,2,IL-10,11.77
Control,3,IL-10,11.83
Control,1,SL-7,23.44
Control,2,SL-7,23.07
Control,3,SL-7,22.93
Control,1,SL-10,23.97
Control,2,SL-10,23.96
Control,3,SL-10,23.94
P. fluorescens,1,SL-14,25.6
P. fluorescens,2,SL-14,25.89
P. fluorescens,3,SL-14,26.26
S. marcescens,1,SL-14,25.15
S. marcescens,2,SL-14,24.69
S. marcescens,3,SL-14,24.66
B. subtilis,1,SL-14,24.15
B. subtilis,2,SL-14,23.57
B. subtilis,3,SL-14,23.6
Control,1,SL-14,12.31
Control,2,SL-14,12.49
Control,3,SL-14,12.7
P. fluorescens,4,IL-1,20.15
P. fluorescens,5,IL-1,20.09
P. fluorescens,6,IL-1,20.13
S. marcescens,4,IL-1,20.37
S. marcescens,5,IL-1,20.65
S. marcescens,6,IL-1,20.05
B. subtilis,4,IL-1,19.51
B. subtilis,5,IL-1,19.62
B. subtilis,6,IL-1,19.6
P. fluorescens,4,IL-4,15.97
P. fluorescens,5,IL-4,15.98
P. fluorescens,6,IL-4,16.16
S. marcescens,4,IL-4,23.44
S. marcescens,5,IL-4,23.07
S. marcescens,6,IL-4,22.93
B. subtilis,4,IL-4,13.52
B. subtilis,5,IL-4,13.72
B. subtilis,6,IL-4,13.82
P. fluorescens,4,IL-7,16.21
P. fluorescens,5,IL-7,16.3
P. fluorescens,6,IL-7,16.45
S. marcescens,4,IL-7,17.44
S. marcescens,5,IL-7,17.44
S. marcescens,6,IL-7,17.37
B. subtilis,4,IL-7,11.68
B. subtilis,5,IL-7,12.03
B. subtilis,6,IL-7,12.14
P. fluorescens,4,IL-10,13.71
P. fluorescens,5,IL-10,13.68
P. fluorescens,6,IL-10,13.43
S. marcescens,4,IL-10,13.13
S. marcescens,5,IL-10,13.18
S. marcescens,6,IL-10,13.32
B. subtilis,4,IL-10,11.2
B. subtilis,5,IL-10,11.32
B. subtilis,6,IL-10,11.1
