Treatment,Dpi,Rep,Cq
P. fluorescens,IL-1,1,19.75
P. fluorescens,IL-1,2,19.55
P. fluorescens,IL-1,3,19.83
S. marcescens,IL-1,1,19.08
S. marcescens,IL-1,2,19.22
S. marcescens,IL-1,3,19.14
B. subtilis,IL-1,1,19.71
B. subtilis,IL-1,2,20.05
B. subtilis,IL-1,3,19.88
Control,IL-1,1,19.47
Control,IL-1,2,19.79
Control,IL-1,3,19.23
P. fluorescens,IL-4,1,24.99
P. fluorescens,IL-4,2,24.72
P. fluorescens,IL-4,3,24.85
S. marcescens,IL-4,1,20.64
S. marcescens,IL-4,2,21.16
S. marcescens,IL-4,3,21.2
B. subtilis,IL-4,1,22.93
B. subtilis,IL-4,2,23.31
B. subtilis,IL-4,3,23.13
Control,IL-4,1,18.95
Control,IL-4,2,18.79
Control,IL-4,3,18.79
P. fluorescens,IL-7,1,21.91
P. fluorescens,IL-7,2,21.68
P. fluorescens,IL-7,3,21.88
S. marcescens,IL-7,1,25.65
S. marcescens,IL-7,2,25.72
S. marcescens,IL-7,3,25.33
B. subtilis,IL-7,1,21.42
B. subtilis,IL-7,2,22.04
B. subtilis,IL-7,3,21.92
Control,IL-7,1,21.12
Control,IL-7,2,21.27
Control,IL-7,3,21.36
P. fluorescens,IL-10,1,23.59
P. fluorescens,IL-10,2,23.8
P. fluorescens,IL-10,3,23.81
S. marcescens,IL-10,1,21.24
S. marcescens,IL-10,2,21.74
S. marcescens,IL-10,3,21.77
B. subtilis,IL-10,1,23.06
B. subtilis,IL-10,2,22.88
B. subtilis,IL-10,3,22.41
Control,IL-10,1,22.21
Control,IL-10,2,22.26
Control,IL-10,3,22.28
P. fluorescens,SL-7,1,33.49
P. fluorescens,SL-7,2,32.57
P. fluorescens,SL-7,3,33.1
S. marcescens,SL-7,1,30.76
S. marcescens,SL-7,2,30.21
S. marcescens,SL-7,3,31.25
B. subtilis,SL-7,1,30.8
B. subtilis,SL-7,2,31.58
B. subtilis,SL-7,3,31.33
Control,SL-7,1,25.22
Control,SL-7,2,25.55
Control,SL-7,3,25.60
P. fluorescens,SL-10,1,33.01
P. fluorescens,SL-10,2,32.76
P. fluorescens,SL-10,3,32.73
S. marcescens,SL-10,1,34.04
S. marcescens,SL-10,2,33.18
S. marcescens,SL-10,3,33.15
B. subtilis,SL-10,1,30.59
B. subtilis,SL-10,2,30.73
B. subtilis,SL-10,3,31.21
Control,SL-10,1,33.27
Control,SL-10,2,32.49
Control,SL-10,3,33.56
P. fluorescens,SL-14,1,32.1
P. fluorescens,SL-14,2,32.28
P. fluorescens,SL-14,3,32.17
S. marcescens,SL-14,1,33.31
S. marcescens,SL-14,2,33.08
S. marcescens,SL-14,3,33.35
B. subtilis,SL-14,1,34.83
B. subtilis,SL-14,2,34.04
B. subtilis,SL-14,3,34.32
Control,SL-14,1,32.51
Control,SL-14,2,33.16
Control,SL-14,3,32.26
