Treatment,Dpi,Rep,Cq
P. fluorescens,IL-1,1,19.33
P. fluorescens,IL-1,2,19.6
P. fluorescens,IL-1,3,20.02
S. marcescens,IL-1,1,21.25
S. marcescens,IL-1,2,20.43
S. marcescens,IL-1,3,20.98
B. subtilis,IL-1,1,19.03
B. subtilis,IL-1,2,19.65
B. subtilis,IL-1,3,19.21
Control,IL-1,1,20.31
Control,IL-1,2,20.49
Control,IL-1,3,20.83
P. fluorescens,IL-4,1,24.92
P. fluorescens,IL-4,2,24.88
P. fluorescens,IL-4,3,24.93
S. marcescens,IL-4,1,21.57
S. marcescens,IL-4,2,21.59
S. marcescens,IL-4,3,21.51
B. subtilis,IL-4,1,22.7
B. subtilis,IL-4,2,22.19
B. subtilis,IL-4,3,22.23
Control,IL-4,1,20.25
Control,IL-4,2,20.43
Control,IL-4,3,20.41
P. fluorescens,IL-7,1,21.15
P. fluorescens,IL-7,2,21.15
P. fluorescens,IL-7,3,21.39
S. marcescens,IL-7,1,22.02
S. marcescens,IL-7,2,22.23
S. marcescens,IL-7,3,22.11
B. subtilis,IL-7,1,19.5
B. subtilis,IL-7,2,19.71
B. subtilis,IL-7,3,19.99
Control,IL-7,1,19.62
Control,IL-7,2,20.7
Control,IL-7,3,19.92
P. fluorescens,IL-10,1,23.57
P. fluorescens,IL-10,2,23.52
P. fluorescens,IL-10,3,23.37
S. marcescens,IL-10,1,23.13
S. marcescens,IL-10,2,23.17
S. marcescens,IL-10,3,23.18
B. subtilis,IL-10,1,22.6
B. subtilis,IL-10,2,21.76
B. subtilis,IL-10,3,22.07
Control,IL-10,1,21.86
Control,IL-10,2,22.09
Control,IL-10,3,22.14
P. fluorescens,SL-7,1,30.5
P. fluorescens,SL-7,2,30.67
P. fluorescens,SL-7,3,30.57
S. marcescens,SL-7,1,30
S. marcescens,SL-7,2,30.41
S. marcescens,SL-7,3,30.1
B. subtilis,SL-7,1,29.11
B. subtilis,SL-7,2,28.73
B. subtilis,SL-7,3,28.7
Control,SL-7,1,29.48
Control,SL-7,2,29.47
Control,SL-7,3,29.49
P. fluorescens,SL-10,1,31.50
P. fluorescens,SL-10,2,31.68
P. fluorescens,SL-10,3,31.38
S. marcescens,SL-10,1,30.6
S. marcescens,SL-10,2,31.25
S. marcescens,SL-10,3,30.5
B. subtilis,SL-10,1,30.51
B. subtilis,SL-10,2,32.31
B. subtilis,SL-10,3,32.29
Control,SL-10,1,29.23
Control,SL-10,2,29.3
Control,SL-10,3,29.1
P. fluorescens,SL-14,1,30.57
P. fluorescens,SL-14,2,30.66
P. fluorescens,SL-14,3,30.66
S. marcescens,SL-14,1,30.41
S. marcescens,SL-14,2,30.42
S. marcescens,SL-14,3,30.49
B. subtilis,SL-14,1,31.03
B. subtilis,SL-14,2,33.02
B. subtilis,SL-14,3,33.55
Control,SL-14,1,33.56
Control,SL-14,2,33.92
Control,SL-14,3,33.74
P. fluorescens,IL-1,4,20.53
P. fluorescens,IL-1,5,20.3
P. fluorescens,IL-1,6,20.83
S. marcescens,IL-1,4,20.36
S. marcescens,IL-1,5,20.15
S. marcescens,IL-1,6,20.27
B. subtilis,IL-1,4,19.55
B. subtilis,IL-1,5,19.78
B. subtilis,IL-1,6,20.08
Control,IL-1,4,18.51
Control,IL-1,5,18.76
Control,IL-1,6,18.92
P. fluorescens,IL-4,4,20.43
P. fluorescens,IL-4,5,21.16
P. fluorescens,IL-4,6,20.96
S. marcescens,IL-4,4,22.66
S. marcescens,IL-4,5,23.02
S. marcescens,IL-4,6,23.02
B. subtilis,IL-4,4,20.22
B. subtilis,IL-4,5,20.23
B. subtilis,IL-4,6,20.4
Control,IL-4,4,19.48
Control,IL-4,5,19.7
Control,IL-4,6,19.52
P. fluorescens,IL-7,4,24.41
P. fluorescens,IL-7,5,24.38
P. fluorescens,IL-7,6,24.4
S. marcescens,IL-7,4,20.19
S. marcescens,IL-7,5,20.32
S. marcescens,IL-7,6,20.62
B. subtilis,IL-7,4,21.34
B. subtilis,IL-7,5,21.31
B. subtilis,IL-7,6,21.44
Control,IL-7,4,20.71
Control,IL-7,5,20.51
Control,IL-7,6,20.62
P. fluorescens,IL-10,4,22.31
P. fluorescens,IL-10,5,22.5
P. fluorescens,IL-10,6,22.48
S. marcescens,IL-10,4,24.02
S. marcescens,IL-10,5,23.89
S. marcescens,IL-10,6,23.8
B. subtilis,IL-10,4,23.5
B. subtilis,IL-10,5,24.01
B. subtilis,IL-10,6,23.81
Control,IL-10,4,23.7
Control,IL-10,5,24.12
Control,IL-10,6,24.21
P. fluorescens,SL-7,4,32.37
P. fluorescens,SL-7,5,33.75
P. fluorescens,SL-7,6,32.68
S. marcescens,SL-7,4,29.53
S. marcescens,SL-7,5,31.77
S. marcescens,SL-7,6,30.84
B. subtilis,SL-7,4,31.16
B. subtilis,SL-7,5,30.32
B. subtilis,SL-7,6,30.42
Control,SL-7,4,30.75
Control,SL-7,5,30.62
Control,SL-7,6,30.83
P. fluorescens,SL-10,4,32.36
P. fluorescens,SL-10,5,33.17
P. fluorescens,SL-10,6,33.09
S. marcescens,SL-10,4,32.85
S. marcescens,SL-10,5,32.13
S. marcescens,SL-10,6,32.27
B. subtilis,SL-10,4,33.22
B. subtilis,SL-10,5,32.82
B. subtilis,SL-10,6,32.27
Control,SL-10,4,19.97
Control,SL-10,5,19.51
Control,SL-10,6,20.24
P. fluorescens,SL-14,4,33.79
P. fluorescens,SL-14,5,33.32
P. fluorescens,SL-14,6,32.71
S. marcescens,SL-14,4,32.44
S. marcescens,SL-14,5,32.57
S. marcescens,SL-14,6,32.32
B. subtilis,SL-14,4,34.19
B. subtilis,SL-14,5,32.93
B. subtilis,SL-14,6,32.78
Control,SL-14,4,32.58
Control,SL-14,5,31.88
Control,SL-14,6,31.90
P. fluorescens,IL-1,7,19.75
P. fluorescens,IL-1,8,19.55
P. fluorescens,IL-1,9,19.83
S. marcescens,IL-1,7,19.08
S. marcescens,IL-1,8,19.22
S. marcescens,IL-1,9,19.14
B. subtilis,IL-1,7,19.71
B. subtilis,IL-1,8,20.05
B. subtilis,IL-1,9,19.88
Control,IL-1,7,19.47
Control,IL-1,8,19.79
Control,IL-1,9,19.23
P. fluorescens,IL-4,7,24.99
P. fluorescens,IL-4,8,24.72
P. fluorescens,IL-4,9,24.85
S. marcescens,IL-4,7,20.64
S. marcescens,IL-4,8,21.16
S. marcescens,IL-4,9,21.2
B. subtilis,IL-4,7,22.93
B. subtilis,IL-4,8,23.31
B. subtilis,IL-4,9,23.13
Control,IL-4,7,18.95
Control,IL-4,8,18.79
Control,IL-4,9,18.79
P. fluorescens,IL-7,7,21.91
P. fluorescens,IL-7,8,21.68
P. fluorescens,IL-7,9,21.88
S. marcescens,IL-7,7,25.65
S. marcescens,IL-7,8,25.72
