Treatment,Dpi,Rep,Cq
P. fluorescens,IL-1,1,23.44
P. fluorescens,IL-1,2,23.63
P. fluorescens,IL-1,3,23.76
S. marcescens,IL-1,1,25.61
S. marcescens,IL-1,2,25.78
S. marcescens,IL-1,3,25.74
B. subtilis,IL-1,1,26.51
B. subtilis,IL-1,2,26.48
B. subtilis,IL-1,3,26.44
P. fluorescens,IL-4,1,21.55
P. fluorescens,IL-4,2,21.52
P. fluorescens,IL-4,3,21.62
S. marcescens,IL-4,1,19.42
S. marcescens,IL-4,2,19.27
S. marcescens,IL-4,3,19.3
B. subtilis,IL-4,1,17.72
B. subtilis,IL-4,2,17.67
B. subtilis,IL-4,3,17.78
P. fluorescens,IL-7,1,15.95
P. fluorescens,IL-7,2,15.61
P. fluorescens,IL-7,3,15.75
S. marcescens,IL-7,1,17.91
S. marcescens,IL-7,2,18.01
S. marcescens,IL-7,3,17.91
B. subtilis,IL-7,1,12.76
B. subtilis,IL-7,2,12.87
B. subtilis,IL-7,3,12.71
P. fluorescens,IL-10,1,14.53
P. fluorescens,IL-10,2,14.91
P. fluorescens,IL-10,3,14.54
S. marcescens,IL-10,1,14.68
S. marcescens,IL-10,2,14.72
S. marcescens,IL-10,3,14.79
B. subtilis,IL-10,1,12.07
B. subtilis,IL-10,2,12.06
B. subtilis,IL-10,3,11.89
P. fluorescens,SL-7,1,28.2
P. fluorescens,SL-7,2,28.28
P. fluorescens,SL-7,3,28.14
S. marcescens,SL-7,1,26.63
S. marcescens,SL-7,2,26.41
S. marcescens,SL-7,3,26.59
B. subtilis,SL-7,1,26.44
B. subtilis,SL-7,2,26.62
B. subtilis,SL-7,3,27.02
P. fluorescens,SL-10,1,27.72
P. fluorescens,SL-10,2,28.04
P. fluorescens,SL-10,3,28.13
S. marcescens,SL-10,1,26.72
S. marcescens,SL-10,2,26.87
S. marcescens,SL-10,3,26.42
B. subtilis,SL-10,1,26.76
B. subtilis,SL-10,2,26.69
B. subtilis,SL-10,3,26.87
Control,IL-1,1,21.36
Control,IL-1,2,21.22
Control,IL-1,3,21.31
Control,IL-4,1,16.23
Control,IL-4,2,16.23
Control,IL-4,3,16.28
Control,IL-7,1,12.12
Control,IL-7,2,12.27
Control,IL-7,3,12.26
Control,IL-10,1,10.68
Control,IL-10,2,10.83
Control,IL-10,3,10.83
Control,SL-7,1,24.92
Control,SL-7,2,24.6
Control,SL-7,3,25.06
Control,SL-10,1,19.42
Control,SL-10,2,19.39
Control,SL-10,3,19.45
P. fluorescens,SL-14,1,28.48
P. fluorescens,SL-14,2,28.37
P. fluorescens,SL-14,3,28.24
S. marcescens,SL-14,1,12.5
S. marcescens,SL-14,2,12.68
S. marcescens,SL-14,3,12.68
B. subtilis,SL-14,1,15.16
B. subtilis,SL-14,2,15.15
B. subtilis,SL-14,3,15.17
Control,SL-14,1,11.86
Control,SL-14,2,11.86
Control,SL-14,3,11.96
