Treatment,Rep,Dpi,Cq
P. fluorescens,1,IL-1,26.08
P. fluorescens,2,IL-1,26.11
P. fluorescens,3,IL-1,25.89
S. marcescens,1,IL-1,25.54
S. marcescens,2,IL-1,25.88
S. marcescens,3,IL-1,26.24
B. subtilis,1,IL-1,24.25
B. subtilis,2,IL-1,24.39
B. subtilis,3,IL-1,24.5
P. fluorescens,1,IL-4,25.99
P. fluorescens,2,IL-4,26.2
P. fluorescens,3,IL-4,27.23
S. marcescens,1,IL-4,26.6
S. marcescens,2,IL-4,26.9
S. marcescens,3,IL-4,26.38
B. subtilis,1,IL-4,19.46
B. subtilis,2,IL-4,19.54
B. subtilis,3,IL-4,19.26
P. fluorescens,1,IL-7,28.38
P. fluorescens,2,IL-7,27.66
P. fluorescens,3,IL-7,28.3
S. marcescens,1,IL-7,27.48
S. marcescens,2,IL-7,28.28
S. marcescens,3,IL-7,28.05
B. subtilis,1,IL-7,26.44
B. subtilis,2,IL-7,26.71
B. subtilis,3,IL-7,26.59
P. fluorescens,1,IL-10,12.84
P. fluorescens,2,IL-10,13.13
P. fluorescens,3,IL-10,12.9
S. marcescens,1,IL-10,14.42
S. marcescens,2,IL-10,14.8
S. marcescens,3,IL-10,14.11
B. subtilis,1,IL-10,25.18
B. subtilis,2,IL-10,25.44
B. subtilis,3,IL-10,25.24
P. fluorescens,1,SL-7,28.76
P. fluorescens,2,SL-7,28.85
P. fluorescens,3,SL-7,28.36
S. marcescens,1,SL-7,28.11
S. marcescens,2,SL-7,27.88
S. marcescens,3,SL-7,27.93
B. subtilis,1,SL-7,27.19
B. subtilis,2,SL-7,27.4
B. subtilis,3,SL-7,27.47
P. fluorescens,1,SL-10,26.95
P. fluorescens,2,SL-10,26.82
P. fluorescens,3,SL-10,27.32
S. marcescens,1,SL-10,25.87
S. marcescens,2,SL-10,25.45
S. marcescens,3,SL-10,25.69
B. subtilis,1,SL-10,26.02
B. subtilis,2,SL-10,25.79
B. subtilis,3,SL-10,25.86
Control,1,IL-1,21.28
Control,2,IL-1,21.38
Control,3,IL-1,21.43
Control,1,IL-4,23.93
Control,2,IL-4,24.08
Control,3,IL-4,24.02
Control,1,IL-7,14.94
Control,2,IL-7,15
Control,3,IL-7,15.05
Control,1,IL-10,11.34
Control,2,IL-10,11.40
Control,3,IL-10,11.14
Control,1,SL-7,26.2
Control,2,SL-7,26.86
Control,3,SL-7,26.85
Control,1,SL-10,14.48
Control,2,SL-10,14.22
Control,3,SL-10,14.34
Control,1,SL-14,11.6
Control,2,SL-14,11.31
Control,3,SL-14,11.15
P. fluorescens,1,SL-14,19.9
P. fluorescens,2,SL-14,19.94
P. fluorescens,3,SL-14,19.87
S. marcescens,1,SL-14,28.15
S. marcescens,2,SL-14,28.39
S. marcescens,3,SL-14,26.46
B. subtilis,1,SL-14,28.1
B. subtilis,2,SL-14,28.46
B. subtilis,3,SL-14,28.25
